_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,became_inactive,actively_homeless,ageunder16,age16-24,age25-34,age35-44,age45-54,age55-64,age65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage
254,21-Jan,Chronic,16,23,303,209,92,3550,203,342,509,685,710,742,359,2349,1143,58,45.30%
255,21-Jan,Refugees,13,23,66,107,39,995,219,153,190,216,131,70,16,564,418,13,12.70%
256,21-Jan,Families,16,15,158,154,67,1239,601,147,169,182,99,31,10,510,729,0,15.80%
257,21-Jan,Youth,12,45,89,35,77,752,0,752,0,0,0,0,0,448,273,31,9.60%
258,21-Jan,Single Adult,56,365,400,157,516,5838,0,0,1332,1482,1304,1173,536,4079,1660,99,74.60%
259,21-Jan,Non-refugees,71,402,581,239,621,6834,400,739,1311,1448,1272,1134,530,4473,2244,117,87.30%
260,21-Jan,Indigenous,11,99,41,12,90,895,6,96,254,240,189,85,25,540,320,35,11.40%
261,21-Feb,All Population,88,389,590,297,670,7871,609,884,1528,1698,1397,1202,553,5079,2650,142,100.00%
262,21-Feb,Chronic,21,26,286,169,86,3601,220,332,520,694,716,751,368,2382,1158,61,45.80%
263,21-Feb,Refugees,13,22,68,67,39,996,223,148,193,215,131,69,17,562,421,13,12.70%
264,21-Feb,Families,17,4,149,125,62,1221,590,139,156,192,101,33,10,513,708,0,15.50%
265,21-Feb,Youth,15,39,87,45,66,743,0,743,0,0,0,0,0,439,268,36,9.40%
266,21-Feb,Single Adult,56,346,354,127,542,5907,0,0,1372,1506,1296,1169,543,4127,1674,106,75.00%
267,21-Feb,Non-refugees,75,367,522,230,631,6875,386,736,1335,1483,1266,1133,536,4517,2229,129,87.30%
268,21-Feb,Indigenous,8,95,49,35,73,927,5,100,266,260,182,84,30,554,335,38,11.80%
269,21-Mar,All Population,71,389,539,341,725,7745,584,863,1530,1656,1387,1186,539,4996,2593,156,100.00%
270,21-Mar,Chronic,18,20,295,186,113,3615,222,320,521,713,721,757,361,2389,1165,61,46.70%
271,21-Mar,Refugees,12,13,47,80,34,961,227,141,180,204,126,68,15,545,406,10,12.40%
272,21-Mar,Families,12,14,113,124,72,1165,570,127,157,183,90,31,7,485,679,1,15.00%
273,21-Mar,Youth,20,36,92,52,83,735,0,735,0,0,0,0,0,433,258,44,9.50%
274,21-Mar,Single Adult,39,339,334,165,570,5845,0,0,1373,1473,1297,1155,532,4078,1656,111,75.50%
275,21-Mar,Non-refugees,59,376,492,261,691,6784,357,722,1350,1452,1261,1118,524,4451,2187,146,87.60%
276,21-Mar,Indigenous,7,74,39,25,101,912,3,99,267,246,181,86,30,537,333,42,11.80%
277,21-Apr,All Population,69,309,480,268,778,7516,573,906,1442,1568,1366,1133,528,4784,2570,162,100.00%
278,21-Apr,Chronic,16,18,283,165,122,3627,217,312,528,716,751,747,356,2388,1177,62,48.30%
279,21-Apr,Refugees,16,14,41,45,52,939,223,145,182,192,117,65,15,534,395,10,12.50%
280,21-Apr,Families,16,13,132,91,76,1157,559,134,159,173,93,32,7,485,671,1,15.40%
281,21-Apr,Youth,15,37,95,29,69,771,0,771,0,0,0,0,0,446,276,49,10.30%
282,21-Apr,Single Adult,38,259,253,148,633,5588,0,0,1283,1395,1273,1101,521,3853,1623,112,74.30%
283,21-Apr,Non-refugees,53,295,439,223,726,6577,350,761,1260,1376,1249,1068,513,4250,2175,152,87.50%
284,21-Apr,Indigenous,7,57,37,18,131,861,4,94,260,223,173,78,29,501,318,42,11.50%
285,21-May,All Population,78,485,626,278,784,7575,569,901,1490,1593,1378,1114,530,4816,2607,152,100.00%
286,21-May,Chronic,16,36,346,159,95,3739,230,308,567,751,770,750,363,2451,1224,64,49.40%
287,21-May,Refugees,10,22,43,46,30,939,220,144,183,193,124,58,17,534,396,9,12.40%
288,21-May,Families,11,22,152,95,69,1173,562,132,165,170,88,38,10,486,686,1,15.50%
289,21-May,Youth,23,37,87,33,97,769,0,769,0,0,0,0,0,452,271,46,10.20%
290,21-May,Single Adult,44,426,387,150,618,5633,0,0,1325,1423,1290,1079,520,3878,1650,105,74.40%
291,21-May,Non-refugees,68,463,583,232,754,6636,349,757,1307,1400,1254,1056,513,4282,2211,143,87.60%
292,21-May,Indigenous,7,102,66,14,120,888,7,94,258,244,180,77,28,501,349,38,11.70%
293,21-Jun,All Population,98,465,719,253,514,8037,618,979,1570,1725,1454,1140,551,5101,2775,161,100.00%
294,21-Jun,Chronic,13,37,320,152,92,3840,226,326,576,778,800,763,371,2521,1252,67,47.80%
295,21-Jun,Refugees,16,20,105,62,27,998,244,152,189,201,128,68,16,549,439,10,12.40%
296,21-Jun,Families,28,13,227,97,50,1276,611,152,166,194,102,42,9,527,747,2,15.90%
297,21-Jun,Youth,16,44,102,24,66,826,0,826,0,0,0,0,0,484,294,48,10.30%
298,21-Jun,Single Adult,54,408,390,132,398,5935,0,0,1404,1531,1352,1098,542,4090,1734,111,73.80%
299,21-Jun,Non-refugees,82,445,614,191,487,7039,374,827,1381,1524,1326,1072,535,4552,2336,151,87.60%
300,21-Jun,Indigenous,13,105,45,24,74,936,3,104,261,263,194,85,26,541,355,40,11.60%
301,21-Jul,All Population,87,453,740,284,637,8322,673,972,1636,1794,1497,1185,565,5274,2889,159,100.00%
302,21-Jul,Chronic,20,39,302,162,108,3904,247,317,585,796,812,766,381,2565,1270,69,46.90%
303,21-Jul,Refugees,14,22,70,65,28,1014,258,150,187,203,124,74,18,557,446,11,12.20%
304,21-Jul,Families,19,13,206,96,50,1356,671,143,177,208,99,46,12,553,803,0,16.30%
305,21-Jul,Youth,8,54,97,45,89,829,0,829,0,0,0,0,0,492,288,49,10.00%
306,21-Jul,Single Adult,60,386,437,143,498,6137,0,0,1459,1586,1398,1139,553,4229,1798,110,73.70%
307,21-Jul,Non-refugees,73,431,670,219,609,7308,415,822,1449,1591,1373,1111,547,4717,2443,148,87.80%
308,21-Jul,Indigenous,13,90,58,25,95,972,5,108,264,272,199,101,23,561,370,41,11.70%
309,21-Aug,All Population,104,452,685,306,728,8479,701,972,1711,1813,1490,1211,581,5368,2958,153,100.00%
310,21-Aug,Chronic,17,21,308,175,146,3915,237,340,584,802,802,763,387,2571,1274,70,46.20%
311,21-Aug,Refugees,24,25,54,89,39,995,254,143,188,198,113,78,21,541,444,10,11.70%
312,21-Aug,Families,26,39,170,138,72,1378,686,147,191,206,87,47,14,564,812,2,16.30%
313,21-Aug,Youth,12,36,95,28,107,823,0,823,0,0,0,0,0,481,294,48,9.70%
314,21-Aug,Single Adult,66,377,420,140,549,6278,0,0,1520,1607,1403,1164,567,4323,1852,103,74.00%
315,21-Aug,Non-refugees,80,427,631,217,689,7484,447,829,1523,1615,1377,1133,560,4827,2514,143,88.30%
316,21-Aug,Indigenous,15,82,41,17,115,1002,5,114,283,271,204,98,27,586,373,43,11.80%
317,21-Sep,All Population,101,433,832,255,753,8760,787,1011,1706,1882,1519,1262,593,5524,3083,153,100.00%
318,21-Sep,Chronic,26,36,259,129,119,3958,230,347,590,828,801,771,391,2600,1286,72,45.20%
319,21-Sep,Refugees,16,30,185,53,45,1149,312,161,218,236,121,78,23,613,525,11,13.10%
320,21-Sep,Families,28,29,299,91,90,1548,772,168,204,241,101,48,14,631,915,2,17.70%
321,21-Sep,Youth,13,55,98,42,88,842,0,842,0,0,0,0,0,495,297,50,9.60%
322,21-Sep,Single Adult,60,349,435,122,575,6370,0,0,1502,1641,1418,1214,579,4398,1871,101,72.70%
323,21-Sep,Non-refugees,85,403,647,202,708,7611,475,850,1488,1646,1398,1184,570,4911,2558,142,86.90%
324,21-Sep,Indigenous,13,85,53,18,118,1026,8,122,272,282,208,102,32,599,379,48,11.70%
325,21-Oct,All Population,80,450,850,270,823,8992,847,1052,1744,1921,1535,1298,595,5665,3175,152,100.00%
326,21-Oct,Chronic,15,49,289,137,135,4010,237,362,592,832,806,781,400,2630,1307,73,44.60%
327,21-Oct,Refugees,15,26,210,65,38,1301,364,182,249,270,133,78,25,691,599,11,14.50%
328,21-Oct,Families,18,31,271,104,60,1700,839,190,227,259,115,54,16,703,996,1,18.90%
329,21-Oct,Youth,13,48,109,38,97,861,0,861,0,0,0,0,0,508,301,52,9.60%
330,21-Oct,Single Adult,49,371,470,128,666,6431,0,0,1517,1662,1420,1244,579,4454,1878,99,71.50%
331,21-Oct,Non-refugees,65,424,640,205,785,7691,483,870,1495,1651,1402,1220,570,4974,2576,141,85.50%
332,21-Oct,Indigenous,10,93,59,26,127,1053,6,134,265,308,204,104,32,628,381,44,11.70%
333,21-Nov,All Population,77,455,783,250,813,9199,849,1060,1771,1982,1579,1342,616,5815,3235,149,100.00%
334,21-Nov,Chronic,17,48,379,144,151,4131,231,371,632,854,831,789,423,2704,1348,79,44.90%
335,21-Nov,Refugees,17,20,214,65,53,1349,362,187,274,282,143,79,22,715,624,10,14.70%
336,21-Nov,Families,14,25,237,136,91,1754,846,205,224,281,122,57,19,727,1026,1,19.10%
337,21-Nov,Youth,19,40,80,29,96,855,0,855,0,0,0,0,0,492,310,53,9.30%
338,21-Nov,Single Adult,44,390,466,85,626,6590,0,0,1547,1701,1457,1285,597,4596,1899,95,71.60%
339,21-Nov,Non-refugees,60,435,569,185,760,7850,487,873,1497,1700,1436,1263,594,5100,2611,139,85.30%
340,21-Nov,Indigenous,7,99,45,14,134,1070,6,122,259,314,223,114,32,644,381,45,11.60%
341,21-Dec,All Population,52,319,806,261,805,9255,901,1054,1742,1991,1587,1343,637,5813,3294,148,100.00%
342,21-Dec,Chronic,11,34,376,151,120,4258,269,385,632,875,844,819,434,2755,1420,83,46.00%
343,21-Dec,Refugees,10,18,286,73,63,1530,415,204,311,330,167,80,23,798,718,14,16.50%
344,21-Dec,Families,7,15,262,125,68,1827,888,200,234,302,133,50,20,760,1065,2,19.70%
345,21-Dec,Youth,9,29,99,24,101,850,0,850,0,0,0,0,0,480,315,55,9.20%
346,21-Dec,Single Adult,36,275,445,112,636,6578,0,0,1508,1689,1454,1293,617,4573,1914,91,71.10%
347,21-Dec,Non-refugees,42,301,520,188,742,7725,486,850,1431,1661,1420,1263,614,5015,2576,134,83.50%
348,21-Dec,Indigenous,4,56,35,19,128,1043,5,126,244,301,217,118,32,624,374,45,11.30%
349,22-Jan,All Population,85,408,741,235,781,9410,909,1055,1796,2011,1625,1362,652,5897,3346,167,100.00%
350,22-Jan,Chronic,27,32,359,131,153,4365,283,385,659,902,851,835,450,2810,1466,89,46.40%
351,22-Jan,Refugees,14,22,269,61,48,1726,470,229,343,382,192,83,27,895,816,15,18.30%
352,22-Jan,Families,11,5,177,112,66,1861,896,204,236,320,133,52,20,765,1095,1,19.80%
353,22-Jan,Youth,19,42,91,33,95,851,0,851,0,0,0,0,0,479,310,62,9.00%
354,22-Jan,Single Adult,55,361,473,90,620,6698,0,0,1560,1691,1492,1310,632,4653,1941,104,71.20%
355,22-Jan,Non-refugees,71,386,472,174,733,7684,439,826,1453,1629,1433,1279,625,5002,2530,152,81.70%
356,22-Jan,Indigenous,13,102,54,13,123,1098,5,127,264,313,227,127,35,666,380,52,11.70%
357,22-Feb,All Population,87,370,780,282,721,9559,920,1096,1802,2041,1671,1374,655,6002,3393,164,100.00%
358,22-Feb,Chronic,25,28,372,130,119,4508,314,388,678,925,889,865,449,2912,1508,88,47.20%
359,22-Feb,Refugees,22,21,240,117,62,1833,487,261,365,393,212,87,28,959,858,16,19.20%
360,22-Feb,Families,11,7,238,142,63,1904,912,213,244,325,149,43,18,783,1120,1,19.90%
361,22-Feb,Youth,13,45,104,35,75,882,0,882,0,0,0,0,0,488,330,64,9.20%
362,22-Feb,Single Adult,63,318,438,105,583,6773,0,0,1558,1716,1522,1331,637,4731,1943,99,70.90%
363,22-Feb,Non-refugees,65,349,540,165,659,7726,433,835,1437,1648,1459,1287,627,5043,2535,148,80.80%
364,22-Feb,Indigenous,15,90,57,18,98,1159,6,134,277,337,242,126,37,712,397,50,12.10%
365,22-Mar,All Population,101,349,954,321,673,9933,1012,1165,1850,2141,1694,1410,661,6187,3584,162,100.00%
366,22-Mar,Chronic,18,26,468,175,138,4686,345,417,687,953,930,906,448,2998,1598,90,47.20%
367,22-Mar,Refugees,27,20,421,131,72,2099,582,312,396,441,241,96,31,1082,1003,14,21.10%
368,22-Mar,Families,30,25,404,171,71,2115,1006,248,260,362,169,52,18,886,1226,3,21.30%
369,22-Mar,Youth,16,35,108,29,75,913,0,913,0,0,0,0,0,511,342,60,9.20%
370,22-Mar,Single Adult,55,289,442,121,527,6905,0,0,1590,1779,1525,1358,643,4790,2016,99,69.50%
371,22-Mar,Non-refugees,74,329,533,190,601,7834,430,853,1454,1700,1453,1314,630,5105,2581,148,78.90%
372,22-Mar,Indigenous,10,69,52,17,115,1193,6,140,289,358,232,126,42,724,415,54,12.00%
373,22-Apr,All Population,77,316,718,283,803,9913,1053,1175,1821,2098,1696,1408,662,6173,3585,155,100.00%
374,22-Apr,Chronic,12,27,415,161,167,4778,364,441,683,983,954,916,437,3044,1645,89,48.20%
375,22-Apr,Refugees,7,24,309,91,89,2263,631,333,418,467,272,109,33,1169,1079,15,22.80%
376,22-Apr,Families,17,11,279,136,76,2208,1045,267,275,369,182,53,17,947,1258,3,22.30%
377,22-Apr,Youth,9,29,91,17,96,908,0,908,0,0,0,0,0,503,351,54,9.20%
378,22-Apr,Single Adult,51,276,348,130,631,6797,0,0,1546,1729,1514,1355,645,4723,1976,98,68.60%
379,22-Apr,Non-refugees,70,292,409,192,714,7650,422,842,1403,1631,1424,1299,629,5004,2506,140,77.20%
380,22-Apr,Indigenous,15,77,27,19,162,1153,3,121,285,358,217,126,43,708,394,51,11.60%
381,22-May,All Population,82,309,740,333,939,9732,1073,1180,1779,1978,1685,1372,665,6004,3580,148,100.00%
382,22-May,Chronic,9,37,471,217,172,4885,392,478,697,956,978,927,457,3090,1709,86,50.20%
383,22-May,Refugees,23,21,285,127,96,2379,655,355,464,465,297,105,38,1243,1126,10,24.40%
384,22-May,Families,23,14,226,144,69,2260,1064,272,279,379,196,51,19,977,1282,1,23.20%
385,22-May,Youth,10,40,91,23,102,907,0,907,0,0,0,0,0,499,353,55,9.30%
386,22-May,Single Adult,49,255,423,166,768,6565,0,0,1500,1599,1489,1321,646,4528,1945,92,67.50%
387,22-May,Non-refugees,59,288,455,206,843,7353,418,825,1315,1513,1388,1267,627,4761,2454,138,75.60%
388,22-May,Indigenous,6,81,44,20,155,1130,3,122,278,337,225,127,38,689,396,45,11.60%
389,22-Jun,All Population,81,382,779,373,791,9752,1091,1193,1808,1972,1668,1346,674,5966,3636,150,100.00%
390,22-Jun,Chronic,17,55,395,199,190,4916,415,482,698,961,985,911,464,3105,1716,95,50.40%
391,22-Jun,Refugees,20,21,285,175,79,2449,675,360,494,483,292,106,39,1281,1156,12,25.10%
392,22-Jun,Families,9,13,252,201,100,2218,1052,261,289,366,187,44,19,963,1253,2,22.70%
393,22-Jun,Youth,16,37,100,27,81,932,0,932,0,0,0,0,0,501,375,56,9.60%
394,22-Jun,Single Adult,56,332,427,145,610,6602,0,0,1519,1606,1481,1302,655,4502,2008,92,67.70%
395,22-Jun,Non-refugees,61,361,494,198,712,7303,416,833,1314,1489,1376,1240,635,4685,2480,138,74.90%
396,22-Jun,Indigenous,9,80,42,17,144,1103,3,125,265,325,232,120,33,652,410,41,11.30%
397,22-Jul,All Population,74,277,814,344,762,9768,1125,1165,1841,1989,1652,1322,674,5920,3701,147,100.00%
398,22-Jul,Chronic,10,31,388,225,209,4901,408,495,682,952,981,907,476,3094,1715,92,50.20%
399,22-Jul,Refugees,16,16,396,164,81,2638,696,374,573,540,303,113,39,1362,1264,12,27.00%
400,22-Jul,Families,19,21,262,181,78,2274,1088,265,287,381,186,48,19,971,1301,2,23.30%
401,22-Jul,Youth,10,18,77,33,77,899,0,899,0,0,0,0,0,481,366,52,9.20%
402,22-Jul,Single Adult,45,238,475,130,607,6595,0,0,1554,1608,1466,1274,655,4468,2034,93,67.50%
403,22-Jul,Non-refugees,58,261,418,180,681,7130,429,791,1268,1449,1349,1209,635,4558,2437,135,73.00%
404,22-Jul,Indigenous,8,56,24,21,144,1034,2,118,247,307,224,100,36,607,388,39,10.60%
405,22-Aug,All Population,82,289,797,418,743,9724,1114,1156,1818,2019,1619,1323,675,5917,3658,149,100.00%
406,22-Aug,Chronic,20,42,381,230,212,4899,388,511,689,949,973,912,477,3087,1723,89,50.40%
407,22-Aug,Refugees,21,23,452,220,106,2813,699,379,630,622,321,124,38,1465,1333,15,28.90%
408,22-Aug,Families,28,19,256,241,76,2257,1078,252,271,403,187,48,18,980,1275,2,23.20%
409,22-Aug,Youth,4,32,97,23,80,904,0,904,0,0,0,0,0,485,361,58,9.30%
410,22-Aug,Single Adult,50,238,444,154,587,6563,0,0,1547,1616,1432,1275,657,4452,2022,89,67.50%
411,22-Aug,Non-refugees,61,266,345,198,637,6911,415,777,1188,1397,1298,1199,637,4452,2325,134,71.10%
412,22-Aug,Indigenous,6,62,28,20,145,971,3,116,226,286,204,103,33,580,354,37,10.00%
413,22-Sep,All Population,73,265,791,376,746,9690,1126,1158,1802,2013,1638,1301,652,5855,3688,147,100.00%
414,22-Sep,Chronic,15,49,502,244,193,4978,442,527,700,959,985,895,470,3131,1755,92,51.40%
415,22-Sep,Refugees,21,19,366,164,92,2976,702,413,686,673,336,124,42,1522,1437,17,30.70%
416,22-Sep,Families,14,6,236,176,70,2221,1095,244,262,386,176,42,16,939,1280,2,22.90%
417,22-Sep,Youth,8,20,104,33,80,914,0,914,0,0,0,0,0,496,358,60,9.40%
418,22-Sep,Single Adult,51,239,451,167,596,6555,0,0,1540,1627,1462,1259,636,4420,2050,85,67.60%
419,22-Sep,Non-refugees,52,246,425,212,654,6714,424,745,1116,1340,1302,1177,610,4333,2251,130,69.30%
420,22-Sep,Indigenous,7,57,42,25,143,915,2,111,206,260,205,100,31,548,335,32,9.40%
421,22-Oct,All Population,49,281,733,453,651,9622,1155,1132,1854,1991,1597,1263,630,5810,3662,150,100.00%
422,22-Oct,Chronic,8,50,409,305,212,4926,426,520,705,947,962,898,468,3103,1730,93,51.20%
423,22-Oct,Refugees,13,11,403,218,83,3109,728,425,743,700,351,117,45,1600,1491,18,32.30%
424,22-Oct,Families,10,21,319,246,61,2260,1132,242,280,368,176,45,17,948,1310,2,23.50%
425,22-Oct,Youth,7,20,65,27,74,889,0,889,0,0,0,0,0,479,349,61,9.20%
426,22-Oct,Single Adult,32,240,349,180,516,6473,0,0,1574,1623,1421,1218,613,4383,2003,87,67.30%
427,22-Oct,Non-refugees,36,270,330,235,568,6513,427,707,1111,1291,1246,1146,585,4210,2171,132,67.70%
428,22-Oct,Indigenous,5,78,27,23,112,895,2,106,219,246,195,99,28,536,328,31,9.30%
429,22-Nov,All Population,56,370,722,464,565,9711,1134,1139,1905,2025,1627,1255,626,5904,3662,145,100.00%
430,22-Nov,Chronic,11,68,381,295,163,4898,391,516,720,935,971,893,472,3100,1707,91,50.40%
431,22-Nov,Refugees,15,21,368,248,89,3185,717,437,785,710,375,114,47,1656,1512,17,32.80%
432,22-Nov,Families,5,13,270,236,63,2255,1117,248,274,367,188,43,18,949,1304,2,23.20%
433,22-Nov,Youth,9,34,88,43,61,889,0,889,0,0,0,0,0,492,338,59,9.20%
434,22-Nov,Single Adult,42,323,364,185,441,6567,0,0,1631,1658,1439,1212,608,4463,2020,84,67.60%
435,22-Nov,Non-refugees,41,349,354,216,476,6526,417,702,1120,1315,1252,1141,579,4248,2150,128,67.20%
436,22-Nov,Indigenous,7,96,32,21,111,897,2,97,211,263,196,103,25,549,321,27,9.20%
437,22-Dec,All Population,93,500,1226,503,563,10408,1273,1234,2096,2190,1690,1304,621,6337,3919,152,100.00%
438,22-Dec,Chronic,19,76,414,322,158,4895,379,518,740,947,947,896,468,3088,1720,87,47.00%
439,22-Dec,Refugees,31,24,605,263,82,3530,803,497,893,784,385,122,46,1869,1643,18,33.90%
440,22-Dec,Families,27,20,554,263,70,2529,1251,290,330,414,186,41,17,1082,1445,2,24.30%
441,22-Dec,Youth,12,32,123,29,64,936,0,936,0,0,0,0,0,523,353,60,9.00%
442,22-Dec,Single Adult,54,448,549,211,429,6943,0,0,1766,1776,1504,1263,604,4732,2121,90,66.70%
443,22-Dec,Non-refugees,62,476,621,240,481,6878,470,737,1203,1406,1305,1182,575,4468,2276,134,66.10%
444,22-Dec,Indigenous,8,124,52,17,98,978,3,99,243,280,218,103,32,606,339,33,9.40%
445,23-Jan,All Population,75,441,813,448,546,10702,1272,1242,2232,2262,1730,1352,612,6511,4018,173,100.00%
446,23-Jan,Chronic,8,56,556,284,190,5015,387,501,819,992,953,906,457,3140,1784,91,46.90%
447,23-Jan,Refugees,16,30,339,248,97,3575,795,502,934,786,392,126,40,1914,1641,20,33.40%
448,23-Jan,Families,22,14,220,224,50,2508,1245,281,326,417,184,39,16,1068,1437,3,23.40%
449,23-Jan,Youth,13,25,103,34,68,959,0,959,0,0,0,0,0,538,354,67,9.00%
450,23-Jan,Single Adult,40,402,490,190,428,7235,0,0,1906,1845,1546,1313,596,4905,2227,103,67.60%
451,23-Jan,Non-refugees,59,411,474,200,449,7127,477,740,1298,1476,1338,1226,572,4597,2377,153,66.60%
452,23-Jan,Indigenous,10,104,44,20,107,1018,2,99,249,309,219,107,33,627,353,38,9.50%
453,23-Feb,All Population,73,438,865,492,674,10849,1231,1233,2294,2351,1751,1385,604,6638,4030,181,100.00%
454,23-Feb,Chronic,16,57,416,317,152,5001,373,477,827,1032,952,903,437,3146,1761,94,46.10%
455,23-Feb,Refugees,20,34,382,302,114,3592,759,517,947,805,395,131,38,1954,1618,20,33.10%
456,23-Feb,Families,11,13,255,215,108,2458,1213,268,318,423,177,42,17,1056,1400,2,22.70%
457,23-Feb,Youth,13,24,110,59,68,963,0,963,0,0,0,0,0,543,353,67,8.90%
458,23-Feb,Single Adult,49,401,500,218,498,7428,0,0,1976,1928,1574,1343,587,5039,2277,112,68.50%
459,23-Feb,Non-refugees,53,404,483,190,560,7257,472,716,1347,1546,1356,1254,566,4684,2412,161,66.90%
460,23-Feb,Indigenous,8,105,48,19,105,1067,2,99,253,350,226,110,27,661,364,42,9.80%
461,23-Mar,All Population,79,322,801,523,683,10811,1237,1237,2298,2351,1714,1369,605,6614,4017,180,100.00%
462,23-Mar,Chronic,14,53,463,304,135,5091,380,488,849,1067,960,907,440,3196,1805,90,47.10%
463,23-Mar,Refugees,27,26,377,308,91,3633,764,537,962,811,386,130,43,1981,1630,22,33.60%
464,23-Mar,Families,13,10,292,252,37,2475,1224,265,330,433,165,41,17,1055,1419,1,22.90%
465,23-Mar,Youth,9,30,106,48,79,971,0,971,0,0,0,0,0,543,367,61,9.00%
466,23-Mar,Single Adult,57,282,403,223,567,7365,0,0,1968,1918,1549,1328,588,5016,2231,118,68.10%
467,23-Mar,Non-refugees,52,296,424,215,592,7178,473,700,1336,1540,1328,1239,562,4633,2387,158,66.40%
468,23-Mar,Indigenous,11,77,38,17,117,1078,4,109,263,333,226,113,30,661,376,41,10.00%
469,23-Apr,All Population,66,301,766,595,787,10515,1225,1249,2244,2252,1639,1306,600,6426,3912,177,100.00%
470,23-Apr,Chronic,17,36,440,377,153,5017,394,482,832,1050,937,875,447,3159,1775,83,47.70%
471,23-Apr,Refugees,17,20,409,347,80,3663,779,571,974,794,384,122,39,2001,1641,21,34.80%
472,23-Apr,Families,16,10,245,272,43,2432,1215,261,325,421,160,39,11,1041,1389,2,23.10%
473,23-Apr,Youth,7,32,103,47,50,986,0,986,0,0,0,0,0,550,373,63,9.40%
474,23-Apr,Single Adult,43,259,418,276,694,7097,0,0,1919,1831,1479,1267,589,4835,2150,112,67.50%
475,23-Apr,Non-refugees,49,281,357,248,707,6852,446,678,1270,1458,1255,1184,561,4425,2271,156,65.20%
476,23-Apr,Indigenous,6,88,23,22,151,1023,6,107,243,323,207,105,32,628,353,42,9.70%
477,23-May,All Population,68,266,1132,704,773,10453,1242,1272,2275,2219,1587,1258,600,6396,3891,166,100.00%
478,23-May,Chronic,14,35,443,414,175,4917,392,472,815,1017,929,849,443,3107,1729,81,47.00%
479,23-May,Refugees,19,24,764,444,124,3914,779,635,1093,849,401,118,39,2187,1708,19,37.40%
480,23-May,Families,21,15,401,323,83,2458,1230,257,329,435,157,37,13,1063,1393,2,23.50%
481,23-May,Youth,4,19,166,62,89,1015,0,1015,0,0,0,0,0,577,384,54,9.70%
482,23-May,Single Adult,43,232,565,319,601,6980,0,0,1946,1784,1430,1221,587,4756,2114,110,66.80%
483,23-May,Non-refugees,49,242,368,260,649,6539,463,637,1182,1370,1186,1140,561,4209,2183,147,62.60%
484,23-May,Indigenous,4,70,26,21,130,972,9,94,233,310,194,101,31,601,333,38,9.30%
485,23-Jun,All Population,47,188,899,446,701,10418,1282,1310,2280,2191,1581,1200,574,6331,3934,153,100.00%
486,23-Jun,Chronic,8,26,648,285,179,5111,528,511,835,1024,942,833,438,3195,1836,80,49.10%
487,23-Jun,Refugees,18,14,576,262,97,4171,780,683,1178,931,435,127,37,2335,1817,19,40.00%
488,23-Jun,Families,9,8,287,192,24,2554,1272,277,342,441,168,40,14,1124,1429,1,24.50%
489,23-Jun,Youth,7,25,114,40,71,1033,0,1033,0,0,0,0,0,589,393,51,9.90%
490,23-Jun,Single Adult,31,155,498,214,606,6831,0,0,1938,1750,1413,1160,560,4618,2112,101,65.60%
491,23-Jun,Non-refugees,29,174,323,184,604,6247,502,627,1102,1260,1146,1073,537,3996,2117,134,60.00%
492,23-Jun,Indigenous,5,51,27,26,172,855,10,80,208,272,167,92,26,533,292,30,8.20%
493,23-Jul,All Population,34,148,599,248,807,10110,1279,1314,2208,2131,1502,1124,552,6058,3910,142,100.00%
494,23-Jul,Chronic,12,27,427,160,246,5145,559,530,868,1031,933,796,428,3198,1863,84,50.90%
495,23-Jul,Refugees,12,14,389,117,125,4354,787,720,1242,983,455,130,37,2398,1934,22,43.10%
496,23-Jul,Families,6,5,133,83,59,2557,1267,284,331,448,172,41,14,1121,1434,2,25.30%
497,23-Jul,Youth,4,18,95,24,71,1029,0,1029,0,0,0,0,0,582,399,48,10.20%
498,23-Jul,Single Adult,24,125,371,141,677,6524,0,0,1877,1683,1330,1083,538,4355,2077,92,64.50%
499,23-Jul,Non-refugees,22,134,210,131,682,5756,492,594,966,1148,1047,994,515,3660,1976,120,56.90%
500,23-Jul,Indigenous,4,35,17,6,161,749,9,80,167,235,151,83,24,464,259,26,7.40%
501,23-Aug,All Population,42,201,539,246,632,9988,1262,1292,2223,2128,1459,1091,533,5968,3892,128,100.00%
502,23-Aug,Chronic,9,35,517,169,194,5338,619,554,932,1076,944,795,418,3294,1962,82,53.40%
503,23-Aug,Refugees,8,19,332,89,113,4525,782,726,1320,1049,466,140,42,2512,1994,19,45.30%
504,23-Aug,Families,4,6,86,73,46,2539,1251,281,332,447,167,46,15,1116,1422,1,25.40%
505,23-Aug,Youth,4,18,82,32,65,1011,0,1011,0,0,0,0,0,571,395,45,10.10%
506,23-Aug,Single Adult,34,177,371,141,521,6438,0,0,1891,1681,1292,1045,518,4281,2075,82,64.50%
507,23-Aug,Non-refugees,34,182,207,157,519,5463,480,566,903,1079,993,951,491,3456,1898,109,54.70%
508,23-Aug,Indigenous,5,50,21,17,136,668,7,74,143,210,131,82,21,414,232,22,6.70%
509,23-Sep,All Population,49,194,841,348,483,10212,1267,1323,2320,2196,1478,1093,535,6056,4022,134,100.00%
510,23-Sep,Chronic,12,38,624,219,182,5596,727,591,991,1124,939,801,423,3385,2125,86,54.80%
511,23-Sep,Refugees,12,21,605,220,89,4855,799,762,1463,1147,492,149,43,2668,2162,25,47.50%
