year,gender,age_group,racial_identity,sexual_orientation,language,income_sources,health_challenges,immigration_status,location_tonight,shelter_past_year,education,acquired_brain_injury
2019,Women,25 to 49 years old,Racialized,Heterosexual,French,Ontario Works,Medical condition,"Yes, immigrant",Emergency shelter,Yes,Post-secondary or higher,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Addiction,No,Institution,Yes,Post-secondary or higher,No
2019,Women,50 to 64 years old,Non-racialized,Heterosexual,English,Disability benefit,Substance use issue,"Yes, immigrant",Someone else's Place,No,High school graduate,No
2019,Men,25 to 49 years old,Non-racialized,"Gay, lesbian and other",English,Money from family/friends,Medical condition,No,Someone else's Place,Yes,Less than high school,Yes
2019,Men,50 to 64 years old,Non-racialized,Heterosexual,English,Informal income (eg. bottle returns),Mental health issue,"Yes, refugee or refugee claimant",Emergency shelter,Yes,High school graduate,Yes
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Medical condition,No,Emergency shelter,Yes,Some post-secondary,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,GST/HST refund,Addiction,No,Emergency shelter,Yes,Post-secondary or higher,No
2019,Men,13 to 17 years old,Non-racialized,Heterosexual,English,Ontario Works,Substance use issue,No,Emergency shelter,No,Less than high school,No
2019,Men,50 to 64 years old,Racialized,Heterosexual,French,Employment,Addiction,"Yes, refugee or refugee claimant",Emergency shelter,Yes,Less than high school,Yes
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Addiction,No,Someone else's Place,Yes,Post-secondary or higher,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Seniors' benefits,Medical condition,No,Emergency shelter,Yes,Less than high school,No
2019,Non-binary and other identities,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Physical disability,"Yes, refugee or refugee claimant",Emergency shelter,No,Some post-secondary,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,French,Disability benefit,Mental health issue,No,Emergency shelter,Yes,High school graduate,No
2019,Men,13 to 17 years old,Racialized,"Gay, lesbian and other",English,Disability benefit,Mental health issue,No,Unsheltered,Yes,Some post-secondary,Yes
2019,Women,Over 65 years old,Non-racialized,Heterosexual,French,Ontario Works,Medical condition,No,Emergency shelter,Yes,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Medical condition,No,Motel / Hotel,Yes,High school graduate,No
2019,Women,50 to 64 years old,Non-racialized,Heterosexual,English,Ontario Works,Medical condition,"Yes, refugee or refugee claimant",Emergency shelter,Yes,High school graduate,Yes
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,French,Ontario Works,Addiction,No,Emergency shelter,Yes,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,French,Ontario Works,Learning/cognitive limitation,No,Emergency shelter,Yes,Post-secondary or higher,No
2019,Men,13 to 17 years old,Racialized,Heterosexual,English,Disability benefit,Mental health issue,No,Transitional housing,Yes,Less than high school,No
2019,Women,50 to 64 years old,Non-racialized,Heterosexual,No preference,Money from family/friends,Mental health issue,No,Emergency shelter,Yes,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,French,Ontario Works,Mental health issue,No,Transitional housing,No,High school graduate,Yes
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Substance use issue,No,Emergency shelter,Yes,Some post-secondary,No
2019,Women,50 to 64 years old,Non-racialized,Heterosexual,English,Student loans,Mental health issue,No,Unsheltered,Yes,Post-secondary or higher,Yes
2019,Men,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Substance use issue,No,Emergency shelter,Yes,Some post-secondary,No
2019,Men,50 to 64 years old,Non-racialized,Heterosexual,Neither English or French,GST/HST refund,Mental health issue,No,Emergency shelter,Yes,Less than high school,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Mental health issue,No,Emergency shelter,Yes,High school graduate,No
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Mental health issue,"Yes, immigrant",Emergency shelter,Yes,High school graduate,No
2019,Men,18 to 24 years old,Racialized,Heterosexual,Neither English or French,Disability benefit,Mental health issue,No,Transitional housing,No,High school graduate,Yes
2019,Non-binary and other identities,50 to 64 years old,Non-racialized,Heterosexual,French,Disability benefit,Medical condition,No,Emergency shelter,Yes,Some post-secondary,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Physical limitation,No,Institution,No,Post-secondary or higher,Yes
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Mental health issue,No,Emergency shelter,No,Post-secondary or higher,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Substance use issue,No,Emergency shelter,Yes,High school graduate,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Child and family tax benefits,Physical disability,No,Someone else's Place,Yes,High school graduate,No
2019,Women,50 to 64 years old,Racialized,Heterosexual,French,Employment,Mental health issue,No,Emergency shelter,No,Post-secondary or higher,No
2019,Women,50 to 64 years old,Non-racialized,Heterosexual,English,Seniors' benefits,Addiction,No,Emergency shelter,Yes,Less than high school,Yes
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Physical disability,"Yes, refugee or refugee claimant",Emergency shelter,Yes,Less than high school,No
2019,Women,50 to 64 years old,Non-racialized,Heterosexual,English,Employment,Physical limitation,No,Emergency shelter,Yes,High school graduate,No
2019,Men,13 to 17 years old,Non-racialized,Heterosexual,English,Ontario Works,Substance use issue,No,Emergency shelter,Yes,Some post-secondary,No
2019,Men,50 to 64 years old,Racialized,Heterosexual,English,Disability benefit,Medical condition,"Yes, refugee or refugee claimant",Someone else's place,Yes,Post-secondary or higher,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,GST/HST refund,Medical condition,No,Emergency shelter,Yes,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Medical condition,No,Institution,Yes,High school graduate,Yes
2019,Men,50 to 64 years old,Non-racialized,Heterosexual,English,Disability benefit,Physical disability,No,Emergency shelter,Yes,Less than high school,Yes
2019,Men,25 to 49 years old,Racialized,Heterosexual,French,Ontario Works,Physical limitation,No,Emergency shelter,Yes,Some post-secondary,No
2019,Men,50 to 64 years old,Racialized,Heterosexual,English,Disability benefit,Mental health issue,No,Someone else's Place,Yes,Less than high school,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Medical condition,No,Emergency shelter,Yes,Post-secondary or higher,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,French,Disability benefit,Addiction,"Yes, immigrant",Emergency shelter,Yes,Less than high school,No
2019,Women,50 to 64 years old,Racialized,Heterosexual,French,Ontario Works,Mental health issue,No,Motel / Hotel,No,Post-secondary or higher,No
2019,Men,13 to 17 years old,Non-racialized,"Gay, lesbian and other",English,Ontario Works,Substance use issue,No,Emergency shelter,Yes,High school graduate,No
2019,Men,50 to 64 years old,Non-racialized,Heterosexual,English,Employment,Physical limitation,No,Motel / Hotel,No,Less than high school,No
2019,Men,50 to 64 years old,Non-racialized,"Gay, lesbian and other",English,Disability benefit,Addiction,"Yes, refugee or refugee claimant",Institution,Yes,Less than high school,No
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Mental health issue,"Yes, refugee or refugee claimant",Unsheltered,Yes,High school graduate,No
2019,Women,25 to 49 years old,Non-racialized,"Gay, lesbian and other",Neither English or French,Ontario Works,Mental health issue,No,Someone else's Place,Yes,Less than high school,No
2019,Men,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,"Yes, refugee or refugee claimant",Emergency shelter,Yes,High school graduate,Yes
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Mental health issue,"Yes, refugee or refugee claimant",Emergency shelter,Yes,Less than high school,No
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Substance use issue,No,Emergency shelter,No,Less than high school,Yes
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Emergency shelter,Yes,Some post-secondary,Yes
2019,Non-binary and other identities,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Addiction,No,Someone else's place,No,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Transitional housing,No,Less than high school,No
2019,Women,Over 65 years old,Racialized,Heterosexual,English,Employment,Substance use issue,No,Unsheltered,Yes,Less than high school,No
2019,Non-binary and other identities,13 to 17 years old,Racialized,Heterosexual,English,Informal income (eg. bottle returns),Physical disability,"Yes, refugee or refugee claimant",Emergency shelter,Yes,Less than high school,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Employment,Mental health issue,No,Someone else's place,Yes,Less than high school,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,Neither English or French,Seniors' benefits,Physical limitation,"Yes, immigrant",Transitional housing,No,Post-secondary or higher,Yes
2019,Men,18 to 24 years old,Non-racialized,Heterosexual,English,Ontario Works,Substance use issue,No,Motel / Hotel,No,Less than high school,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,Neither English or French,Ontario Works,Addiction,"Yes, immigrant",Emergency shelter,Yes,Less than high school,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,No,Emergency shelter,Yes,Less than high school,No
2019,Men,25 to 49 years old,Racialized,"Gay, lesbian and other",English,Employment,Learning/cognitive limitation,"Yes, refugee or refugee claimant",Emergency shelter,Yes,Less than high school,No
2019,Men,18 to 24 years old,Racialized,Heterosexual,French,Ontario Works,Medical condition,"Yes, immigrant",Motel/hotel (self-funded),No,Less than high school,No
2019,Women,18 to 24 years old,Racialized,Heterosexual,English,Seniors' benefits,Mental health issue,No,Emergency shelter,No,Less than high school,No
2019,Men,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Substance use issue,No,Institution,Yes,Post-secondary or higher,Yes
2019,Men,50 to 64 years old,Racialized,Heterosexual,No preference,Ontario Works,Mental health issue,No,Motel / Hotel,No,Some post-secondary,No
2019,Men,18 to 24 years old,Racialized,Heterosexual,French,GST/HST refund,Medical condition,No,Motel / Hotel,Yes,Less than high school,No
2019,Men,Over 65 years old,Non-racialized,Heterosexual,Neither English or French,Employment,Addiction,"Yes, immigrant",Emergency shelter,No,Post-secondary or higher,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Informal income (eg. bottle returns),Physical disability,No,Emergency shelter,Yes,Post-secondary or higher,No
2019,Men,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Mental health issue,"Yes, refugee or refugee claimant",Emergency shelter,Yes,Some post-secondary,Yes
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Other,Yes,Post-secondary or higher,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Child and family tax benefits,Mental health issue,No,Transitional housing,Yes,Less than high school,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Seniors' benefits,Learning/cognitive limitation,No,Someone else's Place,Yes,Post-secondary or higher,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Transitional housing,No,Less than high school,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Medical condition,"Yes, refugee or refugee claimant",Unsheltered,No,Less than high school,Yes
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,No preference,Ontario Works,Substance use issue,No,Transitional housing,Yes,Post-secondary or higher,No
2019,Non-binary and other identities,25 to 49 years old,Racialized,Heterosexual,English,Student loans,Mental health issue,No,Transitional housing,Yes,Less than high school,No
2019,Men,13 to 17 years old,Racialized,Heterosexual,French,Ontario Works,Medical condition,No,Institution,No,High school graduate,No
2019,Women,18 to 24 years old,Non-racialized,Heterosexual,English,Disability benefit,Substance use issue,"Yes, refugee or refugee claimant",Someone else's Place,Yes,Less than high school,No
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Addiction,"Yes, refugee or refugee claimant",Motel / Hotel,No,High school graduate,Yes
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Physical limitation,No,Emergency shelter,Yes,High school graduate,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,No preference,Disability benefit,Mental health issue,"Yes, refugee or refugee claimant",Emergency shelter,Yes,Less than high school,No
2019,Women,18 to 24 years old,Racialized,Heterosexual,Neither English or French,Ontario Works,Physical disability,No,Transitional housing,Yes,Less than high school,No
2019,Women,18 to 24 years old,Racialized,"Gay, lesbian and other",English,Disability benefit,Medical condition,No,Emergency shelter,No,Post-secondary or higher,No
2019,Men,13 to 17 years old,Racialized,Heterosexual,No preference,Ontario Works,Physical disability,No,Transitional housing,No,Some post-secondary,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Addiction,No,Emergency shelter,Yes,High school graduate,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Mental health issue,No,Emergency shelter,Yes,Less than high school,No
2019,Men,18 to 24 years old,Racialized,Heterosexual,English,GST/HST refund,Substance use issue,No,Institution,Yes,Less than high school,Yes
2019,Men,18 to 24 years old,Non-racialized,Heterosexual,English,Ontario Works,Substance use issue,No,Someone else's place,No,High school graduate,No
2019,Non-binary and other identities,25 to 49 years old,Non-racialized,"Gay, lesbian and other",Neither English or French,Disability benefit,Physical limitation,No,Motel / Hotel,Yes,Less than high school,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,French,Seniors' benefits,Learning/cognitive limitation,No,Emergency shelter,Yes,Some post-secondary,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Institution,Yes,High school graduate,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Learning/cognitive limitation,No,Emergency shelter,Yes,High school graduate,Yes
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Emergency shelter,Yes,Post-secondary or higher,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Medical condition,No,Transitional housing,Yes,Less than high school,No
2019,Men,18 to 24 years old,Racialized,Heterosexual,English,Employment,Physical disability,"Yes, immigrant",Emergency shelter,No,Less than high school,Yes
2019,Men,50 to 64 years old,Racialized,Heterosexual,English,Disability benefit,Medical condition,"Yes, refugee or refugee claimant",Unsure,No,Less than high school,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,Neither English or French,Disability benefit,Addiction,No,Emergency shelter,Yes,Some post-secondary,No
2019,Men,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Physical disability,No,Emergency shelter,Yes,Less than high school,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,"Yes, refugee or refugee claimant",Unsheltered,Yes,Less than high school,No
2019,Women,Over 65 years old,Racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Emergency shelter,Yes,High school graduate,No
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Learning/cognitive limitation,No,Transitional housing,Yes,High school graduate,No
2019,Men,50 to 64 years old,Non-racialized,Heterosexual,French,Ontario Works,Medical condition,No,Emergency shelter,Yes,Less than high school,No
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Medical condition,No,Emergency shelter,No,Less than high school,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,French,Employment,Addiction,No,Emergency shelter,Yes,High school graduate,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,GST/HST refund,Mental health issue,No,Emergency shelter,No,Less than high school,No
2019,Non-binary and other identities,Over 65 years old,Racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Emergency shelter,No,Post-secondary or higher,No
2019,Women,50 to 64 years old,Non-racialized,Heterosexual,French,Seniors' benefits,Physical disability,No,Emergency shelter,No,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Mental health issue,"Yes, immigrant",Someone else's Place,Yes,Post-secondary or higher,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Addiction,No,Motel / Hotel,Yes,Less than high school,Yes
2019,Men,50 to 64 years old,Racialized,"Gay, lesbian and other",No preference,Disability benefit,Addiction,No,Someone else's place,Yes,Less than high school,Yes
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Substance use issue,No,Transitional housing,Yes,Less than high school,Yes
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Mental health issue,No,Transitional housing,No,Some post-secondary,Yes
2019,Men,18 to 24 years old,Non-racialized,Heterosexual,English,Ontario Works,Physical disability,"Yes, immigrant",Institution,Yes,Less than high school,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Seniors' benefits,Learning/cognitive limitation,No,Emergency shelter,Yes,Less than high school,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Mental health issue,"Yes, refugee or refugee claimant",Emergency shelter,Yes,Less than high school,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Informal income (eg. bottle returns),Medical condition,No,Unsheltered,Yes,Less than high school,Yes
2019,Men,50 to 64 years old,Racialized,Heterosexual,English,Seniors' benefits,Substance use issue,No,Emergency shelter,Yes,High school graduate,No
2019,Men,50 to 64 years old,Non-racialized,Heterosexual,English,Seniors' benefits,Medical condition,No,Unsure,Yes,Post-secondary or higher,No
2019,Non-binary and other identities,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Physical disability,No,Institution,Yes,Less than high school,No
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Learning/cognitive limitation,No,Emergency shelter,Yes,Post-secondary or higher,No
2019,Women,50 to 64 years old,Non-racialized,"Gay, lesbian and other",English,Ontario Works,Substance use issue,No,Unsure,Yes,Less than high school,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,Neither English or French,Informal income (eg. bottle returns),Learning/cognitive limitation,No,Transitional housing,Yes,Some post-secondary,Yes
2019,Men,25 to 49 years old,Racialized,Heterosexual,French,Ontario Works,Mental health issue,No,Emergency shelter,Yes,Less than high school,No
2019,Men,Over 65 years old,Non-racialized,Heterosexual,English,Ontario Works,Mental health issue,"Yes, immigrant",Emergency shelter,Yes,Some post-secondary,No
2019,Women,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,No,Emergency shelter,Yes,Less than high school,No
2019,Women,18 to 24 years old,Non-racialized,Heterosexual,Neither English or French,Ontario Works,Physical disability,No,Emergency shelter,Yes,High school graduate,No
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,No preference,Ontario Works,Mental health issue,No,Someone else's Place,Yes,Less than high school,No
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Substance use issue,No,Emergency shelter,Yes,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Mental health issue,"Yes, refugee or refugee claimant",Institution,Yes,Less than high school,No
2019,Men,50 to 64 years old,Non-racialized,Heterosexual,English,Ontario Works,Substance use issue,No,Emergency shelter,Yes,Less than high school,No
2019,Men,13 to 17 years old,Racialized,Heterosexual,English,Disability benefit,Mental health issue,No,Emergency shelter,Yes,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Medical condition,"Yes, refugee or refugee claimant",Emergency shelter,Yes,Less than high school,Yes
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,Neither English or French,Ontario Works,Medical condition,"Yes, immigrant",Emergency shelter,No,Some post-secondary,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Learning/cognitive limitation,"Yes, refugee or refugee claimant",Emergency shelter,No,Less than high school,No
2019,Non-binary and other identities,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Emergency shelter,Yes,Less than high school,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Addiction,"Yes, refugee or refugee claimant",Transitional housing,Yes,Less than high school,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Physical disability,No,"Makeshift Shelter, Tent or Shack",No,Less than high school,No
2019,Men,13 to 17 years old,Racialized,Heterosexual,English,Disability benefit,Learning/cognitive limitation,No,Someone else's place,Yes,High school graduate,No
2019,Women,25 to 49 years old,Non-racialized,"Gay, lesbian and other",English,Other,Physical disability,No,Emergency shelter,Yes,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Emergency shelter,Yes,Less than high school,No
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Employment,Addiction,No,Transitional housing,Yes,High school graduate,Yes
2019,Men,25 to 49 years old,Racialized,"Gay, lesbian and other",English,Ontario Works,Mental health issue,"Yes, immigrant",Someone else's Place,No,High school graduate,No
2019,Men,25 to 49 years old,Racialized,"Gay, lesbian and other",English,Ontario Works,Addiction,"Yes, immigrant",Emergency shelter,No,Less than high school,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,French,Ontario Works,Medical condition,No,Emergency shelter,Yes,Some post-secondary,No
2019,Men,18 to 24 years old,Racialized,Don't know,English,Ontario Works,Mental health issue,"Yes, refugee or refugee claimant",Emergency shelter,Yes,Less than high school,No
2019,Women,50 to 64 years old,Non-racialized,Heterosexual,English,Disability benefit,Substance use issue,No,Emergency shelter,Yes,Post-secondary or higher,Yes
2019,Women,25 to 49 years old,Racialized,"Gay, lesbian and other",English,Other,Addiction,No,Motel / Hotel,Yes,Less than high school,Yes
2019,Men,50 to 64 years old,Racialized,Heterosexual,French,Ontario Works,Addiction,"Yes, refugee or refugee claimant",Emergency shelter,No,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Physical limitation,No,Emergency shelter,Yes,High school graduate,No
2019,Women,50 to 64 years old,Racialized,Heterosexual,English,Disability benefit,Mental health issue,No,Emergency shelter,No,Post-secondary or higher,Yes
2019,Men,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Substance use issue,No,Unsure,Yes,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,French,Disability benefit,Physical disability,No,Emergency shelter,Yes,Less than high school,No
2019,Women,25 to 49 years old,Non-racialized,"Gay, lesbian and other",English,Ontario Works,Addiction,No,Institution,Yes,Some post-secondary,No
2019,Women,Over 65 years old,Non-racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Emergency shelter,Yes,High school graduate,Yes
2019,Men,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,No,Transitional housing,No,Some post-secondary,No
2019,Men,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Addiction,No,Motel / Hotel,No,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,No preference,Ontario Works,Substance use issue,No,Emergency shelter,No,High school graduate,No
2019,Women,50 to 64 years old,Non-racialized,Heterosexual,French,Ontario Works,Mental health issue,No,Emergency shelter,No,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,No,Emergency shelter,Yes,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Seniors' benefits,Learning/cognitive limitation,No,Transitional housing,Yes,Post-secondary or higher,No
2019,Women,25 to 49 years old,Racialized,"Gay, lesbian and other",French,Disability benefit,Mental health issue,No,Transitional housing,Yes,Less than high school,Yes
2019,Men,13 to 17 years old,Non-racialized,Heterosexual,French,Employment,Substance use issue,"Yes, immigrant",Emergency shelter,Yes,Less than high school,Yes
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Learning/cognitive limitation,No,Institution,Yes,Some post-secondary,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,French,Disability benefit,Addiction,No,Transitional housing,No,Less than high school,Yes
2019,Women,50 to 64 years old,Non-racialized,Heterosexual,English,Disability benefit,Mental health issue,"Yes, immigrant",Transitional housing,Yes,High school graduate,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,Neither English or French,Disability benefit,Physical limitation,"Yes, immigrant",Transitional housing,Yes,Some post-secondary,Yes
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Employment,Physical disability,No,Unsheltered,Yes,Some post-secondary,No
2019,Women,Over 65 years old,Non-racialized,Heterosexual,English,Student loans,Addiction,No,Emergency shelter,No,Post-secondary or higher,No
2019,Women,50 to 64 years old,Racialized,Heterosexual,English,Seniors' benefits,Physical disability,No,Emergency shelter,Yes,High school graduate,Yes
2019,Women,18 to 24 years old,Racialized,Heterosexual,English,Ontario Works,Physical disability,"Yes, refugee or refugee claimant",Emergency shelter,Yes,Less than high school,No
2019,Men,50 to 64 years old,Non-racialized,Heterosexual,English,Ontario Works,Mental health issue,No,Emergency shelter,Yes,High school graduate,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,English,Ontario Works,Medical condition,"Yes, refugee or refugee claimant",Unsheltered,Yes,Post-secondary or higher,No
2019,Women,18 to 24 years old,Racialized,Heterosexual,English,Disability benefit,Physical disability,"Yes, immigrant",Transitional housing,Yes,Some post-secondary,No
2019,Women,25 to 49 years old,Non-racialized,Heterosexual,English,Disability benefit,Medical condition,No,Emergency shelter,Yes,High school graduate,No
2019,Non-binary and other identities,50 to 64 years old,Racialized,Heterosexual,French,Employment,Learning/cognitive limitation,No,Institution,No,Less than high school,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,French,Ontario Works,Medical condition,No,Unsheltered,Yes,Post-secondary or higher,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Disability benefit,Physical limitation,No,Transitional housing,Yes,Less than high school,Yes
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,"Yes, immigrant",Emergency shelter,Yes,Post-secondary or higher,No
2019,Men,18 to 24 years old,Non-racialized,Heterosexual,English,Ontario Works,Addiction,No,Institution,Yes,Some post-secondary,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Learning/cognitive limitation,No,Emergency shelter,Yes,Some post-secondary,No
2019,Men,Over 65 years old,Non-racialized,Heterosexual,English,Child and family tax benefits,Medical condition,"Yes, refugee or refugee claimant",Institution,Yes,High school graduate,No
2019,Men,50 to 64 years old,Racialized,Heterosexual,English,Ontario Works,Addiction,No,Unsheltered,Yes,Some post-secondary,No
2019,Men,18 to 24 years old,Non-racialized,Heterosexual,French,Disability benefit,Learning/cognitive limitation,No,Motel / Hotel,Yes,Less than high school,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,French,Disability benefit,Addiction,"Yes, refugee or refugee claimant",Emergency shelter,Yes,Post-secondary or higher,No
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Medical condition,No,Emergency shelter,Yes,High school graduate,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,French,Ontario Works,Medical condition,No,Emergency shelter,Yes,Less than high school,No
2019,Men,25 to 49 years old,Non-racialized,Heterosexual,French,Disability benefit,Physical limitation,No,Institution,No,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,French,Ontario Works,Medical condition,No,Emergency shelter,Yes,Less than high school,No
2019,Non-binary and other identities,25 to 49 years old,Racialized,"Gay, lesbian and other",English,Disability benefit,Substance use issue,No,Motel / Hotel,Yes,Less than high school,No
2019,Women,25 to 49 years old,Racialized,Heterosexual,English,GST/HST refund,Medical condition,No,Emergency shelter,No,Post-secondary or higher,Yes
2019,Men,25 to 49 years old,Racialized,Heterosexual,English,Ontario Works,Physical limitation,No,Transitional housing,Yes,Some post-secondary,No
2019,Men,13 to 17 years old,Non-racialized,"Gay, lesbian and other",English,Ontario Works,Substance use issue,No,Unsheltered,Yes,High school graduate,No
