Date,Count_,TotalLengthOfStay,Category,ObjectId
2017/05/01 00:00:00+00,32,619,Offsite/Overflow Singles,471
2017/05/01 00:00:00+00,874,14073,Mens Shelter,472
2017/05/01 00:00:00+00,219,3891,Womens Shelter,473
2017/05/01 00:00:00+00,318,3115,Mixed-Gender,474
2017/05/01 00:00:00+00,85,2183,Youth Shelter,475
2017/05/01 00:00:00+00,1001,16815,Single Adult Males,476
2017/05/01 00:00:00+00,327,5510,Single Adult Females,477
2017/05/01 00:00:00+00,69,1556,Single Youth 18 Under,478
2017/05/01 00:00:00+00,378,35224,Family Units,479
2017/05/01 00:00:00+00,409,35843,Family Households,480
2017/11/01 00:00:00+00,2756,57762,All Clients,481
2017/11/01 00:00:00+00,1434,24282,All Singles,482
2017/11/01 00:00:00+00,1346,33810,Family Household Members,483
2017/11/01 00:00:00+00,1326,33480,Family Member,484
2017/11/01 00:00:00+00,20,330,Offsite/Overflow Singles,485
2017/11/01 00:00:00+00,885,14431,Mens Shelter,486
2017/11/01 00:00:00+00,217,4106,Womens Shelter,487
2017/11/01 00:00:00+00,374,3586,Mixed-Gender,488
2017/11/01 00:00:00+00,89,1829,Youth Shelter,489
2017/11/01 00:00:00+00,1031,17014,Single Adult Males,490
2017/11/01 00:00:00+00,314,5646,Single Adult Females,491
2017/11/01 00:00:00+00,89,1622,Single Youth 18 Under,492
2017/11/01 00:00:00+00,380,33480,Family Units,493
2017/11/01 00:00:00+00,399,33810,Family Households,494
2017/10/01 00:00:00+00,2788,61652,All Clients,495
2017/10/01 00:00:00+00,1420,25149,All Singles,496
2017/10/01 00:00:00+00,1394,36883,Family Household Members,497
2017/10/01 00:00:00+00,1374,36503,Family Member,498
2017/10/01 00:00:00+00,20,380,Offsite/Overflow Singles,499
2017/10/01 00:00:00+00,886,14927,Mens Shelter,500
2016/01/01 00:00:00+00,90,1900,Youth Shelter,501
2016/01/01 00:00:00+00,987,17357,Single Adult Males,502
2016/01/01 00:00:00+00,299,5375,Single Adult Females,503
2016/01/01 00:00:00+00,66,1140,Single Youth 18 Under,504
2016/01/01 00:00:00+00,220,20328,Family Units,505
2016/01/01 00:00:00+00,283,21496,Family Households,506
2016/07/01 00:00:00+00,2278,45041,All Clients,507
2016/07/01 00:00:00+00,1378,23541,All Singles,508
2016/07/01 00:00:00+00,975,22868,Family Household Members,509
2016/07/01 00:00:00+00,902,21500,Family Member,510
2016/07/01 00:00:00+00,73,1368,Offsite/Overflow Singles,511
2016/07/01 00:00:00+00,804,13231,Mens Shelter,512
2016/07/01 00:00:00+00,218,3874,Womens Shelter,513
2016/07/01 00:00:00+00,316,3058,Mixed-Gender,514
2016/07/01 00:00:00+00,94,2010,Youth Shelter,515
2016/07/01 00:00:00+00,968,16444,Single Adult Males,516
2016/07/01 00:00:00+00,328,5601,Single Adult Females,517
2016/07/01 00:00:00+00,82,1496,Single Youth 18 Under,518
2016/07/01 00:00:00+00,259,21500,Family Units,519
2016/07/01 00:00:00+00,331,22868,Family Households,520
2016/06/01 00:00:00+00,2154,42452,All Clients,521
2016/06/01 00:00:00+00,1327,23087,All Singles,522
2016/06/01 00:00:00+00,881,20542,Family Household Members,523
2016/06/01 00:00:00+00,827,19365,Family Member,524
2016/06/01 00:00:00+00,54,1177,Offsite/Overflow Singles,525
2016/06/01 00:00:00+00,814,13437,Mens Shelter,526
2016/06/01 00:00:00+00,197,3562,Womens Shelter,527
2016/06/01 00:00:00+00,287,3018,Mixed-Gender,528
2016/06/01 00:00:00+00,85,1893,Youth Shelter,529
2016/06/01 00:00:00+00,969,16480,Single Adult Males,530
2016/06/01 00:00:00+00,289,5226,Single Adult Females,531
2016/06/01 00:00:00+00,69,1381,Single Youth 18 Under,532
2016/06/01 00:00:00+00,237,19365,Family Units,533
2016/06/01 00:00:00+00,290,20542,Family Households,534
2016/03/01 00:00:00+00,2119,43048,All Clients,535
2016/03/01 00:00:00+00,1292,23866,All Singles,536
2016/03/01 00:00:00+00,881,20345,Family Household Members,537
2016/03/01 00:00:00+00,829,19213,Family Member,538
2016/03/01 00:00:00+00,53,1163,Offsite/Overflow Singles,539
2016/03/01 00:00:00+00,821,14458,Mens Shelter,540
2016/03/01 00:00:00+00,205,3720,Womens Shelter,541
2016/03/01 00:00:00+00,257,2562,Mixed-Gender,542
2016/03/01 00:00:00+00,82,1963,Youth Shelter,543
2016/03/01 00:00:00+00,944,17304,Single Adult Males,544
2016/03/01 00:00:00+00,282,5277,Single Adult Females,545
2016/03/01 00:00:00+00,66,1285,Single Youth 18 Under,546
2016/03/01 00:00:00+00,240,19213,Family Units,547
2016/03/01 00:00:00+00,292,20345,Family Households,548
2016/05/01 00:00:00+00,2182,44891,All Clients,549
2016/05/01 00:00:00+00,1367,24239,All Singles,550
2016/05/01 00:00:00+00,877,21840,Family Household Members,551
2016/05/01 00:00:00+00,818,20652,Family Member,552
2016/05/01 00:00:00+00,59,1188,Offsite/Overflow Singles,553
2016/05/01 00:00:00+00,862,14583,Mens Shelter,554
2016/05/01 00:00:00+00,193,3735,Womens Shelter,555
2016/05/01 00:00:00+00,295,2677,Mixed-Gender,556
2016/05/01 00:00:00+00,89,2056,Youth Shelter,557
2016/05/01 00:00:00+00,1012,17438,Single Adult Males,558
2016/05/01 00:00:00+00,284,5334,Single Adult Females,559
2016/05/01 00:00:00+00,71,1467,Single Youth 18 Under,560
2016/05/01 00:00:00+00,237,20652,Family Units,561
2016/05/01 00:00:00+00,295,21840,Family Households,562
2016/11/01 00:00:00+00,2394,49191,All Clients,563
2016/11/01 00:00:00+00,1334,23089,All Singles,564
2016/11/01 00:00:00+00,1145,27776,Family Household Members,565
2016/11/01 00:00:00+00,1064,26102,Family Member,566
2016/11/01 00:00:00+00,81,1674,Offsite/Overflow Singles,567
2016/11/01 00:00:00+00,810,13311,Mens Shelter,568
2016/11/01 00:00:00+00,204,3457,Womens Shelter,569
2016/11/01 00:00:00+00,291,2831,Mixed-Gender,570
2016/11/01 00:00:00+00,83,1816,Youth Shelter,571
2016/11/01 00:00:00+00,954,16452,Single Adult Males,572
2016/11/01 00:00:00+00,299,5062,Single Adult Females,573
2016/11/01 00:00:00+00,81,1575,Single Youth 18 Under,574
2016/11/01 00:00:00+00,319,26102,Family Units,575
2016/11/01 00:00:00+00,399,27776,Family Households,576
2016/10/01 00:00:00+00,2430,51542,All Clients,577
2016/10/01 00:00:00+00,1384,24184,All Singles,578
2016/10/01 00:00:00+00,1122,28907,Family Household Members,579
2016/10/01 00:00:00+00,1048,27358,Family Member,580
2016/10/01 00:00:00+00,74,1549,Offsite/Overflow Singles,581
2016/10/01 00:00:00+00,857,14013,Mens Shelter,582
2016/10/01 00:00:00+00,214,3735,Womens Shelter,583
2016/10/01 00:00:00+00,296,3019,Mixed-Gender,584
2016/10/01 00:00:00+00,77,1868,Youth Shelter,585
2016/10/01 00:00:00+00,1000,17271,Single Adult Males,586
2016/10/01 00:00:00+00,309,5353,Single Adult Females,587
2016/10/01 00:00:00+00,75,1560,Single Youth 18 Under,588
2016/10/01 00:00:00+00,314,27358,Family Units,589
2016/10/01 00:00:00+00,387,28907,Family Households,590
2016/09/01 00:00:00+00,2449,48901,All Clients,591
2016/09/01 00:00:00+00,1423,23697,All Singles,592
2016/09/01 00:00:00+00,1098,26382,Family Household Members,593
2016/09/01 00:00:00+00,1028,25204,Family Member,594
2016/09/01 00:00:00+00,70,1178,Offsite/Overflow Singles,595
2016/09/01 00:00:00+00,872,13891,Mens Shelter,596
2016/09/01 00:00:00+00,203,3791,Womens Shelter,597
2016/09/01 00:00:00+00,334,2900,Mixed-Gender,598
2016/09/01 00:00:00+00,89,1937,Youth Shelter,599
2016/09/01 00:00:00+00,1023,16753,Single Adult Males,600
2017/02/01 00:00:00+00,56,957,Offsite/Overflow Singles,601
2017/02/01 00:00:00+00,798,12910,Mens Shelter,602
2017/02/01 00:00:00+00,198,3506,Womens Shelter,603
2017/02/01 00:00:00+00,260,2674,Mixed-Gender,604
2017/02/01 00:00:00+00,88,1726,Youth Shelter,605
2017/02/01 00:00:00+00,949,15832,Single Adult Males,606
2017/02/01 00:00:00+00,280,4956,Single Adult Females,607
2017/02/01 00:00:00+00,61,985,Single Youth 18 Under,608
2017/02/01 00:00:00+00,331,27612,Family Units,609
2017/02/01 00:00:00+00,386,28569,Family Households,610
2017/01/01 00:00:00+00,2512,54550,All Clients,611
2017/01/01 00:00:00+00,1376,24496,All Singles,612
2017/01/01 00:00:00+00,1209,31564,Family Household Members,613
2017/01/01 00:00:00+00,1138,30054,Family Member,614
2017/01/01 00:00:00+00,71,1510,Offsite/Overflow Singles,615
2017/01/01 00:00:00+00,859,14535,Mens Shelter,616
2017/01/01 00:00:00+00,213,3682,Womens Shelter,617
2017/01/01 00:00:00+00,277,2824,Mixed-Gender,618
2017/01/01 00:00:00+00,86,1945,Youth Shelter,619
2017/01/01 00:00:00+00,1018,17953,Single Adult Males,620
2017/01/01 00:00:00+00,304,5380,Single Adult Females,621
2017/01/01 00:00:00+00,54,1163,Single Youth 18 Under,622
2017/01/01 00:00:00+00,330,30054,Family Units,623
2017/01/01 00:00:00+00,400,31564,Family Households,624
2017/07/01 00:00:00+00,2744,59587,All Clients,625
2017/07/01 00:00:00+00,1366,23582,All Singles,626
2017/07/01 00:00:00+00,1415,36530,Family Household Members,627
2017/07/01 00:00:00+00,1386,36005,Family Member,628
2017/07/01 00:00:00+00,29,525,Offsite/Overflow Singles,629
2017/07/01 00:00:00+00,860,13687,Mens Shelter,630
2017/07/01 00:00:00+00,204,4062,Womens Shelter,631
2017/07/01 00:00:00+00,319,3180,Mixed-Gender,632
2017/07/01 00:00:00+00,84,2128,Youth Shelter,633
2017/07/01 00:00:00+00,984,16228,Single Adult Males,634
2017/07/01 00:00:00+00,303,5593,Single Adult Females,635
2017/07/01 00:00:00+00,79,1761,Single Youth 18 Under,636
2017/07/01 00:00:00+00,395,36005,Family Units,637
2017/07/01 00:00:00+00,423,36530,Family Households,638
2017/06/01 00:00:00+00,2699,57552,All Clients,639
2017/06/01 00:00:00+00,1371,22665,All Singles,640
2017/06/01 00:00:00+00,1368,35516,Family Household Members,641
2017/06/01 00:00:00+00,1333,34887,Family Member,642
2017/06/01 00:00:00+00,35,629,Offsite/Overflow Singles,643
2017/06/01 00:00:00+00,868,13138,Mens Shelter,644
2017/06/01 00:00:00+00,193,3862,Womens Shelter,645
2017/06/01 00:00:00+00,309,2997,Mixed-Gender,646
2017/06/01 00:00:00+00,88,2039,Youth Shelter,647
2017/06/01 00:00:00+00,991,15696,Single Adult Males,648
2017/06/01 00:00:00+00,302,5419,Single Adult Females,649
2017/06/01 00:00:00+00,78,1550,Single Youth 18 Under,650
2017/10/01 00:00:00+00,202,4201,Womens Shelter,651
2017/10/01 00:00:00+00,367,3623,Mixed-Gender,652
2017/10/01 00:00:00+00,83,2018,Youth Shelter,653
2017/10/01 00:00:00+00,1034,17649,Single Adult Males,654
2017/10/01 00:00:00+00,313,5792,Single Adult Females,655
2017/10/01 00:00:00+00,73,1708,Single Youth 18 Under,656
2017/10/01 00:00:00+00,388,36503,Family Units,657
2017/10/01 00:00:00+00,407,36883,Family Households,658
2017/09/01 00:00:00+00,2792,59678,All Clients,659
2017/09/01 00:00:00+00,1383,24030,All Singles,660
2017/09/01 00:00:00+00,1429,36100,Family Household Members,661
2017/09/01 00:00:00+00,1412,35648,Family Member,662
2017/09/01 00:00:00+00,17,452,Offsite/Overflow Singles,663
2017/09/01 00:00:00+00,861,14172,Mens Shelter,664
2017/09/01 00:00:00+00,206,4089,Womens Shelter,665
2017/09/01 00:00:00+00,349,3385,Mixed-Gender,666
2017/09/01 00:00:00+00,81,1932,Youth Shelter,667
2017/09/01 00:00:00+00,1010,16799,Single Adult Males,668
2017/09/01 00:00:00+00,299,5694,Single Adult Females,669
2017/09/01 00:00:00+00,74,1537,Single Youth 18 Under,670
2017/09/01 00:00:00+00,392,35648,Family Units,671
2017/09/01 00:00:00+00,408,36100,Family Households,672
2018/04/01 00:00:00+00,2797,60040,All Clients,673
2018/04/01 00:00:00+00,1403,24541,All Singles,674
2018/04/01 00:00:00+00,1426,36181,Family Household Members,675
2018/04/01 00:00:00+00,1398,35559,Family Member,676
2018/04/01 00:00:00+00,30,682,Offsite/Overflow Singles,677
2018/04/01 00:00:00+00,869,14466,Mens Shelter,678
2018/04/01 00:00:00+00,207,4099,Womens Shelter,679
2018/04/01 00:00:00+00,342,3409,Mixed-Gender,680
2018/04/01 00:00:00+00,80,1885,Youth Shelter,681
2018/04/01 00:00:00+00,1014,17121,Single Adult Males,682
2018/04/01 00:00:00+00,318,5945,Single Adult Females,683
2018/04/01 00:00:00+00,71,1475,Single Youth 18 Under,684
2018/04/01 00:00:00+00,400,35559,Family Units,685
2018/04/01 00:00:00+00,428,36181,Family Households,686
2018/08/01 00:00:00+00,2977,67088,All Clients,687
2018/08/01 00:00:00+00,1460,24982,All Singles,688
2018/08/01 00:00:00+00,1539,42654,Family Household Members,689
2018/08/01 00:00:00+00,1517,42106,Family Member,690
2018/08/01 00:00:00+00,22,548,Offsite/Overflow Singles,691
2018/08/01 00:00:00+00,922,15129,Mens Shelter,692
2018/08/01 00:00:00+00,207,4317,Womens Shelter,693
2018/08/01 00:00:00+00,363,3167,Mixed-Gender,694
2018/08/01 00:00:00+00,76,1821,Youth Shelter,695
2018/08/01 00:00:00+00,1056,17400,Single Adult Males,696
2018/08/01 00:00:00+00,326,5875,Single Adult Females,697
2018/08/01 00:00:00+00,78,1707,Single Youth 18 Under,698
2018/08/01 00:00:00+00,424,42106,Family Units,699
2018/08/01 00:00:00+00,445,42654,Family Households,700
2018/07/01 00:00:00+00,81,1918,Youth Shelter,701
2018/07/01 00:00:00+00,1005,16857,Single Adult Males,702
2018/07/01 00:00:00+00,329,5890,Single Adult Females,703
2018/07/01 00:00:00+00,80,1763,Single Youth 18 Under,704
2018/07/01 00:00:00+00,448,40785,Family Units,705
2018/07/01 00:00:00+00,472,41387,Family Households,706
2018/06/01 00:00:00+00,2793,58933,All Clients,707
2018/06/01 00:00:00+00,1389,23323,All Singles,708
2018/06/01 00:00:00+00,1433,36087,Family Household Members,709
2018/06/01 00:00:00+00,1408,35610,Family Member,710
2018/06/01 00:00:00+00,25,477,Offsite/Overflow Singles,711
2018/06/01 00:00:00+00,861,14099,Mens Shelter,712
2018/06/01 00:00:00+00,234,4058,Womens Shelter,713
2018/06/01 00:00:00+00,326,2780,Mixed-Gender,714
2018/06/01 00:00:00+00,75,1909,Youth Shelter,715
2018/06/01 00:00:00+00,988,16232,Single Adult Males,716
2018/06/01 00:00:00+00,328,5459,Single Adult Females,717
2018/06/01 00:00:00+00,73,1632,Single Youth 18 Under,718
2018/06/01 00:00:00+00,405,35610,Family Units,719
2018/06/01 00:00:00+00,429,36087,Family Households,720
2018/03/01 00:00:00+00,2735,60574,All Clients,721
2018/03/01 00:00:00+00,1404,25219,All Singles,722
2018/03/01 00:00:00+00,1365,35958,Family Household Members,723
2018/03/01 00:00:00+00,1339,35395,Family Member,724
2018/03/01 00:00:00+00,28,603,Offsite/Overflow Singles,725
2018/03/01 00:00:00+00,889,15002,Mens Shelter,726
2018/03/01 00:00:00+00,206,4208,Womens Shelter,727
2018/03/01 00:00:00+00,370,3517,Mixed-Gender,728
2018/03/01 00:00:00+00,79,1889,Youth Shelter,729
2018/03/01 00:00:00+00,1021,17759,Single Adult Males,730
2018/03/01 00:00:00+00,317,6006,Single Adult Females,731
2018/03/01 00:00:00+00,66,1454,Single Youth 18 Under,732
2018/03/01 00:00:00+00,385,35395,Family Units,733
2018/03/01 00:00:00+00,411,35958,Family Households,734
2018/05/01 00:00:00+00,2816,62959,All Clients,735
2018/05/01 00:00:00+00,1411,24788,All Singles,736
2018/05/01 00:00:00+00,1441,38809,Family Household Members,737
2018/05/01 00:00:00+00,1410,38201,Family Member,738
2018/05/01 00:00:00+00,33,638,Offsite/Overflow Singles,739
2018/05/01 00:00:00+00,875,14731,Mens Shelter,740
2018/05/01 00:00:00+00,219,4296,Womens Shelter,741
2018/05/01 00:00:00+00,353,3206,Mixed-Gender,742
2018/05/01 00:00:00+00,73,1917,Youth Shelter,743
2018/05/01 00:00:00+00,1025,17384,Single Adult Males,744
2018/05/01 00:00:00+00,315,5764,Single Adult Females,745
2018/05/01 00:00:00+00,71,1640,Single Youth 18 Under,746
2018/05/01 00:00:00+00,400,38201,Family Units,747
2018/05/01 00:00:00+00,431,38809,Family Households,748
2018/11/01 00:00:00+00,2968,65242,All Clients,749
2018/11/01 00:00:00+00,1424,25758,All Singles,750
2016/09/01 00:00:00+00,324,5445,Single Adult Females,751
2016/09/01 00:00:00+00,76,1499,Single Youth 18 Under,752
2016/09/01 00:00:00+00,305,25204,Family Units,753
2016/09/01 00:00:00+00,374,26382,Family Households,754
2017/04/01 00:00:00+00,2521,53788,All Clients,755
2017/04/01 00:00:00+00,1324,23460,All Singles,756
2017/04/01 00:00:00+00,1245,31116,Family Household Members,757
2017/04/01 00:00:00+00,1201,30328,Family Member,758
2017/04/01 00:00:00+00,44,788,Offsite/Overflow Singles,759
2017/04/01 00:00:00+00,826,13830,Mens Shelter,760
2017/04/01 00:00:00+00,190,3832,Womens Shelter,761
2017/04/01 00:00:00+00,303,2971,Mixed-Gender,762
2017/04/01 00:00:00+00,88,2039,Youth Shelter,763
2017/04/01 00:00:00+00,961,16654,Single Adult Males,764
2017/04/01 00:00:00+00,294,5448,Single Adult Females,765
2017/04/01 00:00:00+00,69,1358,Single Youth 18 Under,766
2017/04/01 00:00:00+00,354,30328,Family Units,767
2017/04/01 00:00:00+00,397,31116,Family Households,768
2017/08/01 00:00:00+00,2764,62502,All Clients,769
2017/08/01 00:00:00+00,1403,24328,All Singles,770
2017/08/01 00:00:00+00,1384,38635,Family Household Members,771
2017/08/01 00:00:00+00,1365,38174,Family Member,772
2017/08/01 00:00:00+00,20,461,Offsite/Overflow Singles,773
2017/08/01 00:00:00+00,879,14194,Mens Shelter,774
2017/08/01 00:00:00+00,213,4181,Womens Shelter,775
2017/08/01 00:00:00+00,352,3305,Mixed-Gender,776
2017/08/01 00:00:00+00,83,2187,Youth Shelter,777
2017/08/01 00:00:00+00,1007,16624,Single Adult Males,778
2017/08/01 00:00:00+00,320,5905,Single Adult Females,779
2017/08/01 00:00:00+00,76,1799,Single Youth 18 Under,780
2017/08/01 00:00:00+00,390,38174,Family Units,781
2017/08/01 00:00:00+00,409,38635,Family Households,782
2017/12/01 00:00:00+00,2646,58113,All Clients,783
2017/12/01 00:00:00+00,1368,24260,All Singles,784
2017/12/01 00:00:00+00,1304,34349,Family Household Members,785
2017/12/01 00:00:00+00,1280,33853,Family Member,786
2017/12/01 00:00:00+00,24,496,Offsite/Overflow Singles,787
2017/12/01 00:00:00+00,884,14554,Mens Shelter,788
2017/12/01 00:00:00+00,225,4238,Womens Shelter,789
2017/12/01 00:00:00+00,323,3062,Mixed-Gender,790
2017/12/01 00:00:00+00,80,1910,Youth Shelter,791
2017/12/01 00:00:00+00,973,16872,Single Adult Males,792
2017/12/01 00:00:00+00,303,5543,Single Adult Females,793
2017/12/01 00:00:00+00,92,1845,Single Youth 18 Under,794
2017/12/01 00:00:00+00,374,33853,Family Units,795
2017/12/01 00:00:00+00,397,34349,Family Households,796
2017/02/01 00:00:00+00,2425,49385,All Clients,797
2017/02/01 00:00:00+00,1290,21773,All Singles,798
2017/02/01 00:00:00+00,1193,28569,Family Household Members,799
2017/02/01 00:00:00+00,1137,27612,Family Member,800
2019/09/01 00:00:00+00,218,4327,Womens Shelter,801
2019/09/01 00:00:00+00,382,2852,Mixed-Gender,802
2019/09/01 00:00:00+00,74,1817,Youth Shelter,803
2019/09/01 00:00:00+00,1042,17407,Single Adult Males,804
2019/09/01 00:00:00+00,342,5962,Single Adult Females,805
2019/09/01 00:00:00+00,73,1491,Single Youth 18 Under,806
2019/09/01 00:00:00+00,531,46978,Family Units,807
2019/09/01 00:00:00+00,556,47533,Family Households,808
2020/04/01 00:00:00+00,3123,75111,All Clients,809
2020/04/01 00:00:00+00,1345,24723,All Singles,810
2020/04/01 00:00:00+00,1817,51205,Family Household Members,811
2020/04/01 00:00:00+00,1779,50388,Family Member,812
2020/04/01 00:00:00+00,38,817,Offsite/Overflow Singles,813
2020/04/01 00:00:00+00,813,15024,Mens Shelter,814
2020/04/01 00:00:00+00,165,3791,Womens Shelter,815
2020/04/01 00:00:00+00,446,3278,Mixed-Gender,816
2020/04/01 00:00:00+00,64,1813,Youth Shelter,817
2020/04/01 00:00:00+00,996,17710,Single Adult Males,818
2020/04/01 00:00:00+00,299,5776,Single Adult Females,819
2020/04/01 00:00:00+00,50,1237,Single Youth 18 Under,820
2020/04/01 00:00:00+00,535,50388,Family Units,821
2020/04/01 00:00:00+00,572,51205,Family Households,822
2020/08/01 00:00:00+00,2986,71230,All Clients,823
2020/08/01 00:00:00+00,1232,22804,All Singles,824
2020/08/01 00:00:00+00,1803,49629,Family Household Members,825
2020/08/01 00:00:00+00,1754,48426,Family Member,826
2020/08/01 00:00:00+00,49,1203,Offsite/Overflow Singles,827
2020/08/01 00:00:00+00,767,14036,Mens Shelter,828
2020/08/01 00:00:00+00,127,3230,Womens Shelter,829
2020/08/01 00:00:00+00,332,2541,Mixed-Gender,830
2020/08/01 00:00:00+00,68,1794,Youth Shelter,831
2020/08/01 00:00:00+00,923,16398,Single Adult Males,832
2020/08/01 00:00:00+00,253,4987,Single Adult Females,833
2020/08/01 00:00:00+00,56,1419,Single Youth 18 Under,834
2020/08/01 00:00:00+00,512,48426,Family Units,835
2020/08/01 00:00:00+00,560,49629,Family Households,836
2020/12/01 00:00:00+00,2662,63583,All Clients,837
2020/12/01 00:00:00+00,1219,23368,All Singles,838
2020/12/01 00:00:00+00,1491,41344,Family Household Members,839
2020/12/01 00:00:00+00,1446,40215,Family Member,840
2020/12/01 00:00:00+00,46,1129,Offsite/Overflow Singles,841
2020/12/01 00:00:00+00,695,12867,Mens Shelter,842
2020/12/01 00:00:00+00,180,3544,Womens Shelter,843
2020/12/01 00:00:00+00,412,4124,Mixed-Gender,844
2020/12/01 00:00:00+00,67,1704,Youth Shelter,845
2020/12/01 00:00:00+00,880,16589,Single Adult Males,846
2020/12/01 00:00:00+00,275,5197,Single Adult Females,847
2020/12/01 00:00:00+00,64,1582,Single Youth 18 Under,848
2020/12/01 00:00:00+00,415,40215,Family Units,849
2020/12/01 00:00:00+00,460,41344,Family Households,850
2019/01/01 00:00:00+00,29,710,Offsite/Overflow Singles,851
2019/01/01 00:00:00+00,875,16023,Mens Shelter,852
2019/01/01 00:00:00+00,190,4263,Womens Shelter,853
2019/01/01 00:00:00+00,417,3453,Mixed-Gender,854
2019/01/01 00:00:00+00,83,2035,Youth Shelter,855
2019/01/01 00:00:00+00,1046,19079,Single Adult Males,856
2019/01/01 00:00:00+00,332,6279,Single Adult Females,857
2019/01/01 00:00:00+00,48,1126,Single Youth 18 Under,858
2019/01/01 00:00:00+00,465,45424,Family Units,859
2019/01/01 00:00:00+00,493,46134,Family Households,860
2019/07/01 00:00:00+00,3137,69607,All Clients,861
2019/07/01 00:00:00+00,1438,25347,All Singles,862
2019/07/01 00:00:00+00,1734,44937,Family Household Members,863
2019/07/01 00:00:00+00,1703,44260,Family Member,864
2019/07/01 00:00:00+00,31,677,Offsite/Overflow Singles,865
2019/07/01 00:00:00+00,889,15649,Mens Shelter,866
2019/07/01 00:00:00+00,217,4587,Womens Shelter,867
2019/07/01 00:00:00+00,350,2615,Mixed-Gender,868
2019/07/01 00:00:00+00,75,1819,Youth Shelter,869
2019/07/01 00:00:00+00,1040,17866,Single Adult Males,870
2019/07/01 00:00:00+00,342,6127,Single Adult Females,871
2019/07/01 00:00:00+00,56,1354,Single Youth 18 Under,872
2019/07/01 00:00:00+00,505,44260,Family Units,873
2019/07/01 00:00:00+00,535,44937,Family Households,874
2019/06/01 00:00:00+00,3071,67372,All Clients,875
2019/06/01 00:00:00+00,1467,24881,All Singles,876
2019/06/01 00:00:00+00,1642,43083,Family Household Members,877
2019/06/01 00:00:00+00,1609,42491,Family Member,878
2019/06/01 00:00:00+00,33,592,Offsite/Overflow Singles,879
2019/06/01 00:00:00+00,923,15117,Mens Shelter,880
2019/06/01 00:00:00+00,197,4171,Womens Shelter,881
2019/06/01 00:00:00+00,378,3184,Mixed-Gender,882
2019/06/01 00:00:00+00,78,1817,Youth Shelter,883
2019/06/01 00:00:00+00,1078,17769,Single Adult Males,884
2019/06/01 00:00:00+00,328,5844,Single Adult Females,885
2019/06/01 00:00:00+00,61,1268,Single Youth 18 Under,886
2019/06/01 00:00:00+00,477,42491,Family Units,887
2019/06/01 00:00:00+00,509,43083,Family Households,888
2019/03/01 00:00:00+00,2982,67443,All Clients,889
2019/03/01 00:00:00+00,1424,25766,All Singles,890
2019/03/01 00:00:00+00,1593,42392,Family Household Members,891
2019/03/01 00:00:00+00,1561,41677,Family Member,892
2019/03/01 00:00:00+00,32,715,Offsite/Overflow Singles,893
2019/03/01 00:00:00+00,899,15566,Mens Shelter,894
2019/03/01 00:00:00+00,203,4206,Womens Shelter,895
2019/03/01 00:00:00+00,384,3438,Mixed-Gender,896
2019/03/01 00:00:00+00,65,1841,Youth Shelter,897
2019/03/01 00:00:00+00,1056,18628,Single Adult Males,898
2019/03/01 00:00:00+00,322,5988,Single Adult Females,899
2019/03/01 00:00:00+00,46,1150,Single Youth 18 Under,900
2018/11/01 00:00:00+00,1568,40001,Family Household Members,901
2018/11/01 00:00:00+00,1546,39484,Family Member,902
2018/11/01 00:00:00+00,22,517,Offsite/Overflow Singles,903
2018/11/01 00:00:00+00,890,15707,Mens Shelter,904
2018/11/01 00:00:00+00,207,4193,Womens Shelter,905
2018/11/01 00:00:00+00,391,3299,Mixed-Gender,906
2018/11/01 00:00:00+00,81,2042,Youth Shelter,907
2018/11/01 00:00:00+00,1030,18135,Single Adult Males,908
2018/11/01 00:00:00+00,308,5697,Single Adult Females,909
2018/11/01 00:00:00+00,86,1926,Single Youth 18 Under,910
2018/11/01 00:00:00+00,445,39484,Family Units,911
2018/11/01 00:00:00+00,466,40001,Family Households,912
2018/10/01 00:00:00+00,2885,65622,All Clients,913
2018/10/01 00:00:00+00,1431,25602,All Singles,914
2018/10/01 00:00:00+00,1480,40464,Family Household Members,915
2018/10/01 00:00:00+00,1459,40020,Family Member,916
2018/10/01 00:00:00+00,21,444,Offsite/Overflow Singles,917
2018/10/01 00:00:00+00,887,15655,Mens Shelter,918
2018/10/01 00:00:00+00,218,4277,Womens Shelter,919
2018/10/01 00:00:00+00,385,3288,Mixed-Gender,920
2018/10/01 00:00:00+00,83,1938,Youth Shelter,921
2018/10/01 00:00:00+00,1031,18024,Single Adult Males,922
2018/10/01 00:00:00+00,315,5692,Single Adult Females,923
2018/10/01 00:00:00+00,85,1886,Single Youth 18 Under,924
2018/10/01 00:00:00+00,414,40020,Family Units,925
2018/10/01 00:00:00+00,434,40464,Family Households,926
2018/09/01 00:00:00+00,2950,62852,All Clients,927
2018/09/01 00:00:00+00,1468,24225,All Singles,928
2018/09/01 00:00:00+00,1507,39055,Family Household Members,929
2018/09/01 00:00:00+00,1486,38627,Family Member,930
2018/09/01 00:00:00+00,21,428,Offsite/Overflow Singles,931
2018/09/01 00:00:00+00,907,14633,Mens Shelter,932
2018/09/01 00:00:00+00,229,4166,Womens Shelter,933
2018/09/01 00:00:00+00,381,3201,Mixed-Gender,934
2018/09/01 00:00:00+00,83,1797,Youth Shelter,935
2018/09/01 00:00:00+00,1050,16903,Single Adult Males,936
2018/09/01 00:00:00+00,333,5581,Single Adult Females,937
2018/09/01 00:00:00+00,85,1741,Single Youth 18 Under,938
