Topic,Sector,Period,Question,Response,Denominator,Numerator,Percent
Demographics,Family,April 2018,4. How do you describe your sexual orientation?,"Gay, lesbian and other",213,18,8.5
Demographics,Family,October 2024,4. How do you describe your sexual orientation?,"Gay, lesbian and other",248,19,7.7
Demographics,Family,October 2021,4. How do you describe your sexual orientation?,Heterosexual,137,120,87.6
Demographics,Family,April 2018,4. How do you describe your sexual orientation?,Heterosexual,213,186,87.3
Demographics,Family,October 2024,4. How do you describe your sexual orientation?,Heterosexual,248,216,87.1
Demographics,Family,April 2018,5. How long have you been in Ottawa?,1 to 5 years,213,43,20.2
Demographics,Family,April 2018,5. How long have you been in Ottawa?,Always been in Ottawa,213,21,9.9
Demographics,Family,April 2018,5. How long have you been in Ottawa?,Over 5 years,213,35,16.4
Demographics,Family,April 2018,5. How long have you been in Ottawa?,Under 1 year,213,111,52.1
Demographics,Family,October 2021,5. What is the highest level of education you completed?,High school graduate,137,33,24.1
Demographics,Family,October 2024,5. What is the highest level of education you completed?,High school graduate,248,58,23.4
Demographics,Family,October 2021,5. What is the highest level of education you completed?,Less than high school,137,39,28.5
Demographics,Family,October 2024,5. What is the highest level of education you completed?,Less than high school,248,53,21.4
Demographics,Family,October 2021,5. What is the highest level of education you completed?,Post-secondary or higher,137,49,35.8
Demographics,Family,October 2024,5. What is the highest level of education you completed?,Post-secondary or higher,248,113,45.6
Demographics,Family,October 2021,5. What is the highest level of education you completed?,Some post-secondary,137,14,10.2
Demographics,Family,October 2024,5. What is the highest level of education you completed?,Some post-secondary,248,16,6.5
Demographics,Family,October 2021,6. How long have you been in Ottawa?,1 to 5 years,137,36,26.3
Demographics,Family,October 2024,6. How long have you been in Ottawa?,1 to 5 years,248,44,17.7
Demographics,Family,October 2021,6. How long have you been in Ottawa?,Always been in Ottawa,137,18,13.1
Demographics,Family,October 2024,6. How long have you been in Ottawa?,Always been in Ottawa,248,43,17.3
Demographics,Family,October 2021,6. How long have you been in Ottawa?,Over 5 years,137,30,21.9
Demographics,Family,October 2024,6. How long have you been in Ottawa?,Over 5 years,248,5,2.0
Demographics,Family,October 2021,6. How long have you been in Ottawa?,Under 1 year,137,51,37.2
Demographics,Family,October 2024,6. How long have you been in Ottawa?,Under 1 year,248,138,55.6
Demographics,Family,April 2018,6. In what language do you feel best able to express yourself?,English,213,96,45.1
Demographics,Family,April 2018,6. In what language do you feel best able to express yourself?,French,213,65,30.5
Demographics,Family,April 2018,6. In what language do you feel best able to express yourself?,Neither English or French,213,39,18.3
Demographics,Family,April 2018,6. In what language do you feel best able to express yourself?,No preference,213,10,4.7
Demographics,Family,October 2024,6a. In what language do you feel best able to express yourself?,English,248,124,50.0
Demographics,Family,October 2024,6a. In what language do you feel best able to express yourself?,French,248,67,27.0
Demographics,Family,October 2024,6a. In what language do you feel best able to express yourself?,Neither English or French,248,51,20.6
Demographics,Family,October 2024,6a. In what language do you feel best able to express yourself?,No preference,248,4,1.6
Demographics,Family,October 2021,7. What is the main reason you came to Ottawa?,Family moved here,117,18,15.4
Demographics,Family,October 2024,7. What is the main reason you came to Ottawa?,Family moved here,201,36,17.9
Demographics,Family,October 2021,7. What is the main reason you came to Ottawa?,Fear for safety,117,16,13.7
Demographics,Family,October 2024,7. What is the main reason you came to Ottawa?,Fear for safety,201,46,22.9
Demographics,Family,October 2021,7. What is the main reason you came to Ottawa?,Other,117,17,14.5
Demographics,Family,October 2024,7. What is the main reason you came to Ottawa?,Other,201,39,19.4
Demographics,Family,October 2021,7. What is the main reason you came to Ottawa?,To access emergency shelters,117,13,11.1
Demographics,Family,October 2024,7. What is the main reason you came to Ottawa?,To access emergency shelters,201,16,8.0
Demographics,Family,October 2021,7. What is the main reason you came to Ottawa?,To access services and supports,117,18,15.4
Demographics,Family,October 2024,7. What is the main reason you came to Ottawa?,To access services and supports,201,10,5.0
Demographics,Family,October 2021,7. What is the main reason you came to Ottawa?,To attend school,117,16,13.7
Demographics,Family,October 2024,7. What is the main reason you came to Ottawa?,To attend school,201,8,4.0
Demographics,Family,October 2021,7. What is the main reason you came to Ottawa?,To find housing,117,8,6.8
Demographics,Family,October 2024,7. What is the main reason you came to Ottawa?,To find housing,201,6,3.0
Demographics,Family,October 2021,7. What is the main reason you came to Ottawa?,To visit friends/family,117,9,7.7
Demographics,Family,October 2024,7. What is the main reason you came to Ottawa?,To visit friends/family,201,13,6.5
Demographics,Single,October 2021,1. What gender do you identify with?,Men,937,637,68.0
Demographics,Single,April 2018,1. What gender do you identify with?,Men,994,695,69.9
Demographics,Single,October 2024,1. What gender do you identify with?,Men,1649,1085,65.8
Demographics,Single,October 2021,1. What gender do you identify with?,Non-binary and other identities,937,23,2.5
Demographics,Single,April 2018,1. What gender do you identify with?,Non-binary and other identities,994,19,1.9
Demographics,Single,October 2024,1. What gender do you identify with?,Non-binary and other identities,1649,26,1.6
Demographics,Single,October 2021,1. What gender do you identify with?,Women,937,262,28.0
Demographics,Single,April 2018,1. What gender do you identify with?,Women,994,272,27.4
Demographics,Single,October 2024,1. What gender do you identify with?,Women,1649,483,29.3
Demographics,Single,October 2021,2. How old are you?,13 to 18 years old,937,0,0.0
Demographics,Single,April 2018,2. How old are you?,13 to 18 years old,994,0,0.0
Demographics,Single,October 2024,2. How old are you?,13 to 18 years old,1649,0,0.0
Demographics,Single,October 2021,2. How old are you?,18 to 24 years old,937,0,0.0
Demographics,Single,April 2018,2. How old are you?,18 to 24 years old,994,0,0.0
Demographics,Single,October 2024,2. How old are you?,18 to 24 years old,1649,0,0.0
Demographics,Single,October 2021,2. How old are you?,25 to 49 years old,937,618,66.0
Demographics,Single,April 2018,2. How old are you?,25 to 49 years old,994,649,65.3
Demographics,Single,October 2024,2. How old are you?,25 to 49 years old,1649,1112,67.4
Demographics,Single,October 2021,2. How old are you?,50 to 64 years old,937,269,28.7
Demographics,Single,April 2018,2. How old are you?,50 to 64 years old,994,303,30.5
Demographics,Single,October 2024,2. How old are you?,50 to 64 years old,1649,405,24.6
Demographics,Single,October 2021,2. How old are you?,Over 65 years old,937,50,5.3
Demographics,Single,April 2018,2. How old are you?,Over 65 years old,994,42,4.2
Demographics,Single,October 2024,2. How old are you?,Over 65 years old,1649,83,5.0
Demographics,Single,October 2021,3. Do you identify with any racial identities?,Non-racialized,937,381,40.7
Demographics,Single,April 2018,3. Do you identify with any racial identities?,Non-racialized,994,554,55.7
Demographics,Single,October 2024,3. Do you identify with any racial identities?,Non-racialized,1649,609,36.9
Demographics,Single,October 2021,3. Do you identify with any racial identities?,Racialized,937,453,48.3
Demographics,Single,April 2018,3. Do you identify with any racial identities?,Racialized,994,396,39.8
Demographics,Single,October 2024,3. Do you identify with any racial identities?,Racialized,1649,848,51.4
Demographics,Single,October 2021,4. How do you describe your sexual orientation?,Don't know,937,37,3.9
Demographics,Single,October 2024,4. How do you describe your sexual orientation?,Don't know,1649,15,0.9
Demographics,Single,October 2021,4. How do you describe your sexual orientation?,"Gay, lesbian and other",937,92,9.8
Demographics,Single,April 2018,4. How do you describe your sexual orientation?,"Gay, lesbian and other",994,72,7.2
Demographics,Single,October 2024,4. How do you describe your sexual orientation?,"Gay, lesbian and other",1649,181,11.0
Demographics,Single,October 2021,4. How do you describe your sexual orientation?,Heterosexual,937,808,86.2
Demographics,Single,April 2018,4. How do you describe your sexual orientation?,Heterosexual,994,891,89.6
Demographics,Single,October 2024,4. How do you describe your sexual orientation?,Heterosexual,1649,1318,79.9
Demographics,Single,April 2018,5. How long have you been in Ottawa?,1 to 5 years,994,146,14.7
Demographics,Single,April 2018,5. How long have you been in Ottawa?,Always been in Ottawa,994,191,19.2
Demographics,Single,April 2018,5. How long have you been in Ottawa?,Over 5 years,994,324,32.6
Demographics,Single,April 2018,5. How long have you been in Ottawa?,Under 1 year,994,295,29.7
Demographics,Single,October 2021,5. What is the highest level of education you completed?,High school graduate,937,269,28.7
Demographics,Single,October 2024,5. What is the highest level of education you completed?,High school graduate,1649,493,29.9
Demographics,Single,October 2021,5. What is the highest level of education you completed?,Less than high school,937,328,35.0
Demographics,Single,October 2024,5. What is the highest level of education you completed?,Less than high school,1649,445,27.0
Demographics,Single,October 2021,5. What is the highest level of education you completed?,Post-secondary or higher,937,180,19.2
Demographics,Single,October 2024,5. What is the highest level of education you completed?,Post-secondary or higher,1649,441,26.7
Demographics,Single,October 2021,5. What is the highest level of education you completed?,Some post-secondary,937,135,14.4
Demographics,Single,October 2024,5. What is the highest level of education you completed?,Some post-secondary,1649,165,10.0
Demographics,Single,October 2021,6. How long have you been in Ottawa?,1 to 5 years,937,126,13.4
Demographics,Single,October 2024,6. How long have you been in Ottawa?,1 to 5 years,1649,329,20.0
Demographics,Single,October 2021,6. How long have you been in Ottawa?,Always been in Ottawa,937,220,23.5
Demographics,Single,October 2024,6. How long have you been in Ottawa?,Always been in Ottawa,1649,497,30.1
Demographics,Single,October 2021,6. How long have you been in Ottawa?,Over 5 years,937,356,38.0
Demographics,Single,October 2024,6. How long have you been in Ottawa?,Over 5 years,1649,232,14.1
Demographics,Single,October 2021,6. How long have you been in Ottawa?,Under 1 year,937,212,22.6
Demographics,Single,October 2024,6. How long have you been in Ottawa?,Under 1 year,1649,506,30.7
Demographics,Single,April 2018,6. In what language do you feel best able to express yourself?,English,994,762,76.7
Demographics,Single,April 2018,6. In what language do you feel best able to express yourself?,French,994,100,10.1
Demographics,Single,April 2018,6. In what language do you feel best able to express yourself?,Neither English or French,994,58,5.8
Demographics,Single,April 2018,6. In what language do you feel best able to express yourself?,No preference,994,58,5.8
Demographics,Single,October 2024,6a. In what language do you feel best able to express yourself?,English,1649,1200,72.8
Demographics,Single,October 2024,6a. In what language do you feel best able to express yourself?,French,1649,196,11.9
Demographics,Single,October 2024,6a. In what language do you feel best able to express yourself?,Neither English or French,1649,105,6.4
Demographics,Single,October 2024,6a. In what language do you feel best able to express yourself?,No preference,1649,41,2.5
Demographics,Single,October 2021,7. What is the main reason you came to Ottawa?,Employment (secured),694,23,3.3
Demographics,Single,October 2024,7. What is the main reason you came to Ottawa?,Employment (secured),1075,17,1.6
Demographics,Single,October 2021,7. What is the main reason you came to Ottawa?,Employment (seeking),694,52,7.5
Demographics,Single,October 2024,7. What is the main reason you came to Ottawa?,Employment (seeking),1075,95,8.8
Demographics,Single,October 2021,7. What is the main reason you came to Ottawa?,Family moved here,694,124,17.9
Demographics,Single,October 2024,7. What is the main reason you came to Ottawa?,Family moved here,1075,92,8.6
Demographics,Single,October 2021,7. What is the main reason you came to Ottawa?,Fear for safety,694,41,5.9
Demographics,Single,October 2024,7. What is the main reason you came to Ottawa?,Fear for safety,1075,136,12.7
Demographics,Single,October 2021,7. What is the main reason you came to Ottawa?,Other,694,80,11.5
Demographics,Single,October 2024,7. What is the main reason you came to Ottawa?,Other,1075,226,21.0
Demographics,Single,October 2021,7. What is the main reason you came to Ottawa?,Recreation/shopping,694,9,1.3
Demographics,Single,October 2024,7. What is the main reason you came to Ottawa?,Recreation/shopping,1075,4,0.4
Demographics,Single,October 2021,7. What is the main reason you came to Ottawa?,To access emergency shelters,694,36,5.2
Demographics,Single,October 2024,7. What is the main reason you came to Ottawa?,To access emergency shelters,1075,112,10.4
Demographics,Single,October 2021,7. What is the main reason you came to Ottawa?,To access services and supports,694,149,21.5
Demographics,Single,October 2024,7. What is the main reason you came to Ottawa?,To access services and supports,1075,141,13.1
Demographics,Single,October 2021,7. What is the main reason you came to Ottawa?,To attend school,694,30,4.3
Demographics,Single,October 2024,7. What is the main reason you came to Ottawa?,To attend school,1075,24,2.2
Demographics,Single,October 2021,7. What is the main reason you came to Ottawa?,To find housing,694,42,6.1
Demographics,Single,October 2024,7. What is the main reason you came to Ottawa?,To find housing,1075,72,6.7
Demographics,Single,October 2021,7. What is the main reason you came to Ottawa?,To visit friends/family,694,70,10.1
Demographics,Single,October 2024,7. What is the main reason you came to Ottawa?,To visit friends/family,1075,74,6.9
Demographics,Youth,October 2021,1. What gender do you identify with?,Men,134,78,58.2
Demographics,Youth,April 2018,1. What gender do you identify with?,Men,187,93,49.7
Demographics,Youth,October 2024,1. What gender do you identify with?,Men,265,132,49.8
Demographics,Youth,October 2021,1. What gender do you identify with?,Non-binary and other identities,134,11,8.2
Demographics,Youth,April 2018,1. What gender do you identify with?,Non-binary and other identities,187,11,5.9
Demographics,Youth,October 2024,1. What gender do you identify with?,Non-binary and other identities,265,17,6.4
Demographics,Youth,October 2021,1. What gender do you identify with?,Women,134,44,32.8
Demographics,Youth,April 2018,1. What gender do you identify with?,Women,187,82,43.9
Demographics,Youth,October 2024,1. What gender do you identify with?,Women,265,107,40.4
Demographics,Youth,October 2021,2. How old are you?,13 to 18 years old,134,32,23.9
Demographics,Youth,April 2018,2. How old are you?,13 to 18 years old,187,64,34.2
Demographics,Youth,October 2024,2. How old are you?,13 to 18 years old,265,20,7.5
Demographics,Youth,October 2021,2. How old are you?,18 to 24 years old,134,102,76.1
Demographics,Youth,April 2018,2. How old are you?,18 to 24 years old,187,123,65.8
Demographics,Youth,October 2024,2. How old are you?,18 to 24 years old,265,243,91.7
Demographics,Youth,October 2021,2. How old are you?,25 to 49 years old,134,0,0.0
Demographics,Youth,April 2018,2. How old are you?,25 to 49 years old,187,0,0.0
Demographics,Youth,October 2024,2. How old are you?,25 to 49 years old,265,0,0.0
Demographics,Youth,October 2021,2. How old are you?,50 to 64 years old,134,0,0.0
Demographics,Youth,April 2018,2. How old are you?,50 to 64 years old,187,0,0.0
Demographics,Youth,October 2024,2. How old are you?,50 to 64 years old,265,0,0.0
Demographics,Youth,October 2021,2. How old are you?,Over 65 years old,134,0,0.0
Demographics,Youth,April 2018,2. How old are you?,Over 65 years old,187,0,0.0
Demographics,Youth,October 2024,2. How old are you?,Over 65 years old,265,0,0.0
Demographics,Youth,October 2021,3. Do you identify with any racial identities?,Non-racialized,134,36,26.9
Demographics,Youth,April 2018,3. Do you identify with any racial identities?,Non-racialized,187,83,44.4
Demographics,Youth,October 2024,3. Do you identify with any racial identities?,Non-racialized,265,55,20.8
Demographics,Youth,October 2021,3. Do you identify with any racial identities?,Racialized,134,88,65.7
Demographics,Youth,April 2018,3. Do you identify with any racial identities?,Racialized,187,105,56.1
Demographics,Youth,October 2024,3. Do you identify with any racial identities?,Racialized,265,182,68.7
Demographics,Youth,October 2021,4. How do you describe your sexual orientation?,"Gay, lesbian and other",134,37,27.6
Demographics,Youth,April 2018,4. How do you describe your sexual orientation?,"Gay, lesbian and other",187,37,19.8
Demographics,Youth,October 2024,4. How do you describe your sexual orientation?,"Gay, lesbian and other",265,51,19.2
Demographics,Youth,October 2021,4. How do you describe your sexual orientation?,Heterosexual,134,94,70.1
Demographics,Youth,April 2018,4. How do you describe your sexual orientation?,Heterosexual,187,140,74.9
Demographics,Youth,October 2024,4. How do you describe your sexual orientation?,Heterosexual,265,175,66.0
Demographics,Youth,April 2018,5. How long have you been in Ottawa?,1 to 5 years,187,40,21.4
Demographics,Youth,April 2018,5. How long have you been in Ottawa?,Always been in Ottawa,187,73,39.0
Demographics,Youth,April 2018,5. How long have you been in Ottawa?,Over 5 years,187,28,15.0
Demographics,Youth,April 2018,5. How long have you been in Ottawa?,Under 1 year,187,44,23.5
Demographics,Youth,October 2021,5. What is the highest level of education you completed?,High school graduate,134,31,23.1
Demographics,Youth,October 2024,5. What is the highest level of education you completed?,High school graduate,265,104,39.2
Demographics,Youth,October 2021,5. What is the highest level of education you completed?,Less than high school,134,79,59.0
Demographics,Youth,October 2024,5. What is the highest level of education you completed?,Less than high school,265,89,33.6
Demographics,Youth,October 2021,5. What is the highest level of education you completed?,Some post-secondary or higher,134,20,14.9
Demographics,Youth,October 2024,5. What is the highest level of education you completed?,Some post-secondary or higher,265,48,18.1
Demographics,Youth,October 2021,6. How long have you been in Ottawa?,1 to 5 years,134,16,11.9
Demographics,Youth,October 2024,6. How long have you been in Ottawa?,1 to 5 years,265,44,16.6
Demographics,Youth,October 2021,6. How long have you been in Ottawa?,Always been in Ottawa,134,54,40.3
Demographics,Youth,October 2024,6. How long have you been in Ottawa?,Always been in Ottawa,265,86,32.5
Demographics,Youth,October 2021,6. How long have you been in Ottawa?,Over 5 years,134,29,21.6
Demographics,Youth,October 2024,6. How long have you been in Ottawa?,Over 5 years,265,3,1.1
Demographics,Youth,October 2021,6. How long have you been in Ottawa?,Under 1 year,134,31,23.1
Demographics,Youth,October 2024,6. How long have you been in Ottawa?,Under 1 year,265,81,30.6
Demographics,Youth,April 2018,6. In what language do you feel best able to express yourself?,English,187,150,80.2
Demographics,Youth,April 2018,6. In what language do you feel best able to express yourself?,French,187,25,13.4
Demographics,Youth,April 2018,6. In what language do you feel best able to express yourself?,No preference,187,8,4.3
Demographics,Youth,October 2024,6a. In what language do you feel best able to express yourself?,English,265,159,60.0
Demographics,Youth,October 2024,6a. In what language do you feel best able to express yourself?,French,265,66,24.9
Demographics,Youth,October 2024,6a. In what language do you feel best able to express yourself?,No preference,265,6,2.3
Demographics,Youth,October 2021,7. What is the main reason you came to Ottawa?,Family moved here,76,28,36.8
Demographics,Youth,October 2024,7. What is the main reason you came to Ottawa?,Family moved here,163,20,12.3
Demographics,Youth,October 2021,7. What is the main reason you came to Ottawa?,Other,76,23,30.3
Demographics,Youth,October 2024,7. What is the main reason you came to Ottawa?,Other,163,13,8.0
Demographics,Youth,October 2021,7. What is the main reason you came to Ottawa?,To access services and supports,76,15,19.7
Demographics,Youth,October 2024,7. What is the main reason you came to Ottawa?,To access services and supports,163,20,12.3
Demographics,Youth,October 2021,7. What is the main reason you came to Ottawa?,To attend school,76,8,10.5
Demographics,Youth,October 2024,7. What is the main reason you came to Ottawa?,To attend school,163,12,7.4
Experiences of homelessness,All,October 2021,1. How old were you the first time you experienced homelessness?,13 to 17 years old,1340,300,22.4
Experiences of homelessness,All,April 2018,1. How old were you the first time you experienced homelessness?,13 to 17 years old,1400,396,28.3
Experiences of homelessness,All,October 2024,1. How old were you the first time you experienced homelessness?,13 to 17 years old,2595,318,12.3
Experiences of homelessness,All,October 2021,1. How old were you the first time you experienced homelessness?,18 to 24 years old,1340,246,18.4
Experiences of homelessness,All,April 2018,1. How old were you the first time you experienced homelessness?,18 to 24 years old,1400,148,10.6
Experiences of homelessness,All,October 2024,1. How old were you the first time you experienced homelessness?,18 to 24 years old,2595,424,16.3
Experiences of homelessness,All,October 2021,1. How old were you the first time you experienced homelessness?,25 to 49 years old,1340,538,40.1
Experiences of homelessness,All,April 2018,1. How old were you the first time you experienced homelessness?,25 to 49 years old,1400,558,39.9
Experiences of homelessness,All,October 2024,1. How old were you the first time you experienced homelessness?,25 to 49 years old,2595,1015,39.1
Experiences of homelessness,All,October 2021,1. How old were you the first time you experienced homelessness?,50 to 64 years old,1340,111,8.3
Experiences of homelessness,All,April 2018,1. How old were you the first time you experienced homelessness?,50 to 64 years old,1400,135,9.6
Experiences of homelessness,All,October 2024,1. How old were you the first time you experienced homelessness?,50 to 64 years old,2595,248,9.6
Experiences of homelessness,All,October 2021,1. How old were you the first time you experienced homelessness?,Over 65 years old,1340,17,1.3
Experiences of homelessness,All,April 2018,1. How old were you the first time you experienced homelessness?,Over 65 years old,1400,15,1.1
Experiences of homelessness,All,October 2024,1. How old were you the first time you experienced homelessness?,Over 65 years old,2595,49,1.9
Experiences of homelessness,All,October 2021,1. How old were you the first time you experienced homelessness?,Under 12 years old,1340,34,2.5
Experiences of homelessness,All,April 2018,1. How old were you the first time you experienced homelessness?,Under 12 years old,1400,56,4.0
Experiences of homelessness,All,October 2024,1. How old were you the first time you experienced homelessness?,Under 12 years old,2595,67,2.6
Experiences of homelessness,All,October 2021,"2. In total, for how much time have you experienced homelessness over the past year?",Less than 180 days,1340,478,35.7
Experiences of homelessness,All,April 2018,"2. In total, for how much time have you experienced homelessness over the past year?",Less than 180 days,1400,462,33.0
Experiences of homelessness,All,October 2024,"2. In total, for how much time have you experienced homelessness over the past year?",Less than 180 days,2595,844,32.5
Experiences of homelessness,All,October 2021,"2. In total, for how much time have you experienced homelessness over the past year?",More than 180 days,1340,761,56.8
Experiences of homelessness,All,April 2018,"2. In total, for how much time have you experienced homelessness over the past year?",More than 180 days,1400,813,58.1
Experiences of homelessness,All,October 2024,"2. In total, for how much time have you experienced homelessness over the past year?",More than 180 days,2595,1279,49.3
Experiences of homelessness,All,April 2018,"3. In total, how many different times have you experienced homelessness in the past year?",3 or more episodes of homelessness,1400,227,16.2
Experiences of homelessness,All,April 2018,"3. In total, how many different times have you experienced homelessness in the past year?",Less than 3 episodes of homelessness,1400,1057,75.5
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Building sold/renovated,1340,29,2.2
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Building sold/renovated,2595,42,1.6
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,"Complaint (eg. pets, noise, damage)",1340,40,3.0
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,"Complaint (eg. pets, noise, damage)",2595,84,3.2
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Conflict with family member,1340,21,1.6
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Conflict with family member,2595,0,0.0
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Conflict with other (unspecified),1340,31,2.3
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Conflict with other (unspecified),2595,240,9.2
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Conflict with parent/guardian,1340,104,7.8
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Conflict with parent/guardian,2595,146,5.6
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Conflict with roomate,1340,46,3.4
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Conflict with roomate,2595,0,0.0
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Conflict with spouse/partner,1340,162,12.1
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Conflict with spouse/partner,2595,294,11.3
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Death of family member,1340,14,1.0
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Death of family member,2595,96,3.7
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Departure of family member,1340,31,2.3
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Departure of family member,2595,96,3.7
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Experienced abuse by other (unspecified),1340,29,2.2
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Experienced abuse by other (unspecified),2595,105,4.0
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Experienced abuse by parent/guardian,1340,36,2.7
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Experienced abuse by parent/guardian,2595,106,4.1
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Experienced abuse by spouse/partner,1340,98,7.3
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Experienced abuse by spouse/partner,2595,200,7.7
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Experienced discrimination,1340,21,1.6
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Experienced discrimination,2595,411,15.8
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Home takeover,1340,8,0.6
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Home takeover,2595,0,0.0
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Hospitalization or treatment program,1340,52,3.9
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Hospitalization or treatment program,2595,65,2.5
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,House fire,1340,9,0.7
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,House fire,2595,0,0.0
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Incarceration (prison or jail),1340,116,8.7
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Incarceration (prison or jail),2595,140,5.4
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Landlord/tenant conflict,1340,176,13.1
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Landlord/tenant conflict,2595,198,7.6
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Mental health issue,1340,100,7.5
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Mental health issue,2595,289,11.1
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Not enough income for housing,1340,349,26.0
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Not enough income for housing,2595,773,29.8
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Owner moved in,1340,8,0.6
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Owner moved in,2595,22,0.8
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Physical health issue,1340,49,3.7
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Physical health issue,2595,149,5.7
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Relocation,1340,97,7.2
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Relocation,2595,392,15.1
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Substance use issue,1340,210,15.7
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Substance use issue,2595,315,12.1
Experiences of homelessness,All,October 2021,3. What happened that caused you to lose your housing most recently?,Unfit/unsafe housing conditions,1340,139,10.4
Experiences of homelessness,All,October 2024,3. What happened that caused you to lose your housing most recently?,Unfit/unsafe housing conditions,2595,317,12.2
Experiences of homelessness,All,October 2021,4. Was your most recent housing loss related to the COVID-19 pandemic?,No,1340,1094,81.6
Experiences of homelessness,All,October 2021,4. Was your most recent housing loss related to the COVID-19 pandemic?,Yes,1340,182,13.6
Experiences of homelessness,All,April 2018,4. What happened that caused you to lose your housing most recently?,Conflict with parent/guardian,1400,94,6.7
Experiences of homelessness,All,April 2018,4. What happened that caused you to lose your housing most recently?,Conflict with spouse/partner,1400,128,9.1
Experiences of homelessness,All,April 2018,4. What happened that caused you to lose your housing most recently?,Evicted,1400,37,2.6
Experiences of homelessness,All,April 2018,4. What happened that caused you to lose your housing most recently?,Experienced abuse by parent/guardian,1400,38,2.7
Experiences of homelessness,All,April 2018,4. What happened that caused you to lose your housing most recently?,Experienced abuse by spouse/partner,1400,67,4.8
Experiences of homelessness,All,April 2018,4. What happened that caused you to lose your housing most recently?,Health issue,1400,134,9.6
Experiences of homelessness,All,April 2018,4. What happened that caused you to lose your housing most recently?,Hospitalization or treatment program,1400,39,2.8
Experiences of homelessness,All,April 2018,4. What happened that caused you to lose your housing most recently?,Incarceration (prison or jail),1400,154,11.0
Experiences of homelessness,All,April 2018,4. What happened that caused you to lose your housing most recently?,Job loss,1400,109,7.8
Experiences of homelessness,All,April 2018,4. What happened that caused you to lose your housing most recently?,Left country/fleeing war,1400,103,7.4
Experiences of homelessness,All,April 2018,4. What happened that caused you to lose your housing most recently?,Other,1400,273,19.5
Experiences of homelessness,All,April 2018,4. What happened that caused you to lose your housing most recently?,Relocation,1400,25,1.8
Experiences of homelessness,All,April 2018,4. What happened that caused you to lose your housing most recently?,Substance use,1400,290,20.7
